column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.461518,0.270946,0.741968,0.377254,0.60849
feVelocity_m_s_Y,-0.963602,0.289868,1.31303,-0.79273,1.08072
feVelocity_m_s_Z,-0.0643636,0.240161,0.50728,2010.43,1.44419e+06
altitudeMsl_m,8.82199,3.37103,13.1523,0.288216,0.429364
longitude_rad,-1.71934e-05,1.19387e-05,3.84651e-05,-0.00130471,0.00292172
latitude_rad,1.03698e-05,7.45647e-06,2.42333e-05,0.00164318,0.00383378
localGravity_m_s2,-0.000189839,6.72033e-05,0.000306736,-0.00193491,0.00312633
eulerAngle_rad_Yaw,-0.00590621,0.00204707,0.00764244,-0.754994,0.977763
eulerAngle_rad_Pitch,0.000563742,0.00139822,0.00314493,1.18611,6.64365
eulerAngle_rad_Roll,0.00198746,0.000901825,0.0032903,33.8932,46.1516
bodyAngularRateWrtEi_rad_s_Roll,2.02144e-05,5.72062e-05,0.000757133,432.528,331281
bodyAngularRateWrtEi_rad_s_Pitch,6.64791e-06,0.000113906,0.00030729,1168.72,333172
bodyAngularRateWrtEi_rad_s_Yaw,-3.5417e-05,5.64961e-05,0.000433336,-506.309,77282
altitudeRateWrtMsl_m_s,0.0643636,0.240161,0.50728,-2011.99,1.44701e+06
speedOfSound_m_s,-0.0347537,0.013398,0.0519655,-0.0105846,0.0158271
airDensity_kg_m3,-0.000823573,0.000313558,0.00122627,-0.091146,0.135745
ambientPressure_Pa,-78.133,29.8127,116.401,-0.112292,0.167338
ambientTemperature_K,-0.0572527,0.0218905,0.0853722,-0.0213419,0.0318257
aero_bodyForce_N_X,26.3349,16.3688,55.9643,0.417921,0.888897
aero_bodyForce_N_Y,-31.3768,3.76592,68.4592,-94.5157,226.966
aero_bodyForce_N_Z,-17.2941,182.429,464.519,-0.0189427,0.511307
aero_bodyMoment_Nm_L,0.0123322,2.6695,53.3428,2.80781e+06,5.05702e+09
aero_bodyMoment_Nm_M,5.97639,63.105,164.82,0.0189724,0.525808
aero_bodyMoment_Nm_N,-11.448,6.39613,111.023,-101.161,997.341
mach,-0.00100559,0.000507127,0.00196507,-0.191569,0.374568
trueAirspeed_m_s,-0.348383,0.172477,0.671923,-0.20213,0.39006
