column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,-0.0140079,0.0225448,0.0860837,-2.19422e-07,3.53168e-07,1.34862e-06
gePosition_m_Y,-0.00388646,0.00471339,0.0164163,-0.0729856,0.190463,2.6615
gePosition_m_Z,6.91363e-16,8.44011e-16,3.08381e-15,,,
feVelocity_m_s_X,1.03143e-16,1.05764e-16,3.77076e-16,,,
feVelocity_m_s_Y,-0.000548548,0.000521643,0.00162659,-0.389803,5.75182,100
feVelocity_m_s_Z,0.00288014,0.00382105,0.0129181,0.00124552,0.00161631,0.00496892
altitudeMsl_m,-0.0140543,0.0225454,0.0861349,-0.000242619,0.000416828,0.00173464
longitude_rad,-6.08739e-10,7.3834e-10,2.57178e-09,-0.0729854,0.190463,2.6615
latitude_rad,1.09019e-22,1.33106e-22,4.86375e-22,,,
localGravity_m_s2,1.2838e-06,8.48749e-07,2.77774e-06,1.31095e-05,8.66335e-06,2.83474e-05
eulerAngle_rad_Yaw,2.20761e-18,1.50257e-18,4.4797e-18,,,
eulerAngle_rad_Pitch,2.23472e-16,1.19515e-18,2.26259e-16,,,
eulerAngle_rad_Roll,9.26013e-10,9.04395e-10,3.19617e-09,6.54889e-05,3.52665e-05,0.000145783
bodyAngularRateWrtEi_rad_s_Roll,1.9343e-11,7.61429e-13,2.0552e-11,,,
bodyAngularRateWrtEi_rad_s_Pitch,1.42475e-19,8.27427e-20,3.10178e-19,,,
bodyAngularRateWrtEi_rad_s_Yaw,1.64735e-19,5.83336e-20,2.81842e-19,,,
altitudeRateWrtMsl_m_s,-0.00288014,0.00382105,0.0129181,-0.00124552,0.00161631,0.00496892
speedOfSound_m_s,-0.00211026,0.00247938,0.00846662,-0.000685896,0.000798526,0.00274794
airDensity_kg_m3,-0.000422865,0.000225843,0.000803305,-0.0765958,0.0386711,0.134967
ambientPressure_Pa,-45.8557,25.793,92.8917,-0.120533,0.0628209,0.214828
ambientTemperature_K,-9.61925e-05,0.000159928,0.000371816,-3.99072e-05,6.61415e-05,0.000156597
aero_bodyForce_N_X,1.40983e-15,2.40311e-15,7.98641e-15,,,
aero_bodyForce_N_Y,-0.00118335,0.000762958,0.0024751,-0.104548,0.0456481,0.183614
aero_bodyForce_N_Z,0.010674,0.0115303,0.0422645,0.074576,0.038499,0.135021
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,1.05091e-05,1.32761e-05,5.93528e-05,0.0014643,0.0018738,0.0072443
dynamicPressure_Pa,-5.89704,6.32315,23.2091,-0.0750404,0.0383443,0.13551
trueAirspeed_m_s,0.00259777,0.00398486,0.012979,0.00086496,0.00192155,0.00498922
