time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
0.0,6387281.000000209,-1.2192e-16,-6.096e-17,0.0,0.0,-0.0,9144.000000208911,0.0,0.0,9.78607215812132,0.0,303.2300147814493,0.4590407321854438,30148.69453988064,228.79900920821055,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951239675,-4.75985444396016e-06,-6.096e-17,-1.2192e-16,7.1113409471042405e-06,0.9752098783975667,9143.951239692726,-7.452084667117748e-13,0.0,9.786072307776656,-0.9752098783975667,303.2302242040725,0.4590434306668799,30148.913413688093,228.79932524358222,0.0,2.9035771041834526e-09,-0.00039818037287198685,0.0,0.0,0.0
0.2,6387280.804958414,-8.09744379074424e-06,0.0,-2.7432000000000004e-16,2.844526476093912e-05,1.950414329780511,9143.804958414468,-1.2677443367956091e-12,0.0,9.786072756741875,-1.9504143297805112,303.2308524698596,0.4590515261683438,30149.57004156094,228.80027334786502,0.0,2.322891264020504e-08,-0.0015927407166047975,0.0,0.0,0.0
0.3,6387280.561157185,-8.59052283335736e-06,-6.096e-17,-5.486400000000001e-16,6.400147477146552e-05,2.9256079269615634,9143.56115718823,-1.3449419949405704e-12,0.0,9.786073505014569,-2.9256079269615625,303.23189957294386,0.4590650188662497,30150.664443248574,228.80185351613335,0.0,7.839925030110022e-08,-0.003583738706211361,0.0,0.0,0.0
0.4,6387280.219837359,-4.811212995365281e-06,0.0,-5.486400000000001e-16,0.00011377947618373705,3.9007852423223963,9143.219837372013,-7.532491985757127e-13,0.0,9.786074552590618,-3.9007852423223963,303.23336550323575,0.4590839090506012,30152.196651340753,228.80406573970947,0.0,1.8584080207818831e-07,-0.0063712704652644425,0.0,0.0,0.0
0.5,6387279.781000859,4.65128537125368e-06,0.0,-5.486400000000001e-16,0.00017777857632978673,4.875940847550079,9142.78100086436,7.282107051266021e-13,0.0,9.786075899464358,-4.875940847550079,303.23525024664167,0.4591081971276714,30154.166711497674,228.8069100064911,0.0,3.6298423352226986e-07,-0.009955470563415865,0.0,0.0,0.0
0.6,6387279.244650089,2.12247116987772e-05,0.0,-2.1640800000000002e-15,0.00025599788477009497,5.851069313373452,9142.244650106531,3.322965524127792e-12,0.0,9.786077545628503,-5.851069313373452,303.2375537850263,0.45913788361984836,30156.57468241038,228.81038630089557,0.0,6.272661476703575e-07,-0.014336512012754756,0.0,0.0,0.0
0.7,6387278.61078807,4.633670605562784e-05,-6.096e-17,-1.0972800000000002e-15,0.0003484363127599457,6.8261652092997815,9141.610788085907,7.2545308490845105e-12,0.0,9.786079491074092,-6.826165209299783,303.2402760962563,0.45917296916578937,30159.420635847553,228.81449460392332,0.0,9.96130570306873e-07,-0.019514606263029262,0.0,0.0,0.0
0.8,6387277.879418307,8.139776999814e-05,-1.2192e-16,-2.1640800000000002e-15,0.0004550925737437205,7.801223103350884,9140.87941833155,1.274373446360534e-11,0.0,9.786081735790578,-7.801223103350884,303.24341715412766,0.45921345451985457,30162.704656580652,228.81923489304947,0.0,1.4870304312214458e-06,-0.02549000319566993,0.0,0.0,0.0
0.9,6387277.050544912,0.00012782961180454752,-2.1336000000000003e-16,-2.1640800000000002e-15,0.0005759651827979682,8.776237561800007,9140.050544912969,2.0013161697855625e-11,0.0,9.786084279765769,-8.776237561800007,303.24697692844455,0.4592593405527764,30166.426842467317,228.82460714234168,0.0,2.1174290521390428e-06,-0.03226299111671746,0.0,0.0,0.0
