time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa
0.0,6387281.000012401,0.0,0.0,0.0,465.76787589444,0.0,0.0,0.0,-0.0,9144.0,0.0,0.0,9.78607215813912,0.0,0.0,0.0,0.0,0.0,0.0,303.2301256063032,0.4590404150549219,30148.940285576737,228.79937393444447,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951061521,46.5767874702672,0.0,-0.9786063113260081,465.767872325232,0.0,0.0,7.111341024736801e-06,0.97520987839524,9143.9512394676,3.711200793933677e-14,0.0,9.786072307781787,0.0,0.0,-7.292115037104997e-06,0.0,0.0,0.0,303.2303350273728,0.45904311353821337,30149.159161083415,228.79968996833335,-0.0,6.508252131193281e-16,-0.00039818003487119847,0.0,0.0,0.0,0.00321606965323,0.21828287484164047
0.2,6387280.80426984,93.1535742269976,0.0,-1.957207195691064,465.767861620656,0.0,0.0,2.8445264801995682e-05,1.950414329722848,9143.80495820568,2.9689542959644906e-13,0.0,9.786072756740268,0.0,0.0,-1.4584230296896551e-05,0.0,0.0,0.0,303.2309632887528,0.4590512090458103,30149.815794163045,228.80063806666666,-0.0,2.2015197242286104e-14,-0.0015927393646665879,0.0,0.0,0.0,0.00643210808282,0.8731420386379768
0.3,6387280.55963736,139.7303595566544,0.0,-2.935797225859896,465.76784378071204,0.0,0.0,6.40014747519888e-05,2.925607926650016,9143.56115697624,1.0020186103444368e-12,0.0,9.786073505014564,0.0,0.0,-2.187634600195651e-05,0.0,0.0,0.0,303.2320103843472,0.4590647017524261,30150.91020435077,228.80221822555558,-0.0,1.6724040689753332e-13,-0.003583735664353281,0.0,0.0,0.0,0.00964808406488,1.964609108892031
0.4,6387280.2171336,186.30714274539602,0.0,-3.91437097406688,465.76781880540005,0.0,0.0,0.00011377947609372961,3.90078524131968,9143.21983715088,2.3751437304719383e-12,0.0,9.786074552604672,0.0,0.0,-2.9168462375111048e-05,0.0,0.0,0.0,303.2334763037928,0.4590835919477036,30152.442424300927,228.80443043611112,-0.0,7.047545576055157e-13,-0.006371265056945345,0.0,0.0,0.0,0.0128639663751,3.4927367803875327
0.5,6387279.77675856,232.88392307968562,0.0,-4.8929230118179206,465.767786691672,0.0,0.0,0.0001777785763007088,4.87594084509144,9142.78100064984,4.638923755759569e-12,0.0,9.786075899480117,0.0,0.0,-3.64605796389071e-05,0.0,0.0,0.0,303.2353610336784,0.45910788003827674,30154.41249964341,228.80727468555557,-0.0,2.1505254196830154e-12,-0.009955462110674733,0.0,0.0,0.0,0.0160797237885,5.457598823599291
0.6,6387279.23854272,279.4606998459864,0.0,-5.871447909445441,465.767747442576,0.0,0.0,0.00025599788464643764,5.85106930822152,9142.244649911521,8.015999308607576e-12,0.0,9.786077545640897,0.0,0.0,-4.3752698016048686e-05,0.0,0.0,0.0,303.2376645551064,0.4591375665462243,30156.820489079408,228.8107509588889,-0.0,5.351389553957426e-12,-0.014336499834930946,0.0,0.0,0.0,0.0192953250791,7.859290082574017
0.7,6387278.6024556,326.037472330152,0.0,-6.849940236053521,465.76770105811204,0.0,0.0,0.00034843631242646397,6.826165199722561,9141.610787862,1.2728995649766405e-11,0.0,9.786079491087012,0.0,0.0,-5.104481772906528e-05,0.0,0.0,0.0,303.240386846436,0.4591726521106159,30159.66646433355,228.81485923722224,-0.0,1.1567488018510902e-11,-0.019514589674994337,0.0,0.0,0.0,0.02251073902,10.697926471875562
0.8,6387277.86855816,372.61423981956,0.0,-7.828394559161281,465.76764753828,0.0,0.0,0.00045509257268832004,7.801223086991761,9140.8794181284,1.900051953724496e-11,0.0,9.78608173578799,0.0,0.0,-5.833693900048637e-05,0.0,0.0,0.0,303.24352788145444,0.45921313748545084,30162.950510249655,228.81959949722224,-0.0,2.2555693638757783e-11,-0.025489981505844195,0.0,0.0,0.0,0.0257259343828,13.973644973333847
0.9,6387277.036789441,419.191001600064,0.0,-8.80680544439808,465.767586880032,0.0,0.0,0.000575965180922808,8.77623753556704,9140.050544703601,2.7053156224815508e-11,0.0,9.786084279774304,0.0,0.0,-6.562906205319049e-05,0.0,0.0,0.0,303.24708762968163,0.4592590235412039,30166.672724647102,228.8249717138889,-0.0,4.0650084376789054e-11,-0.032262963624507784,0.0,0.0,0.0,0.0289408799375,17.686603631831407
