time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s,feVelocity_m_s_Z_1
0.0,6387281.000000001,0.0,0.0,6387281.000000001,0.0,0.0,0.0,465.76787589315,0.0,0.0,0.0,0.0,9144.0,0.0,0.0,9.786072158144812,0.0,-0.0,0.0,0.0,0.0,1.1726615295546747e-20,-0.0,303.22990953514415,0.4590410846190738,30148.630867738,228.7993739345824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0099999997764825,6387280.999510697,4.657678758828739,2.9961204671330365e-20,6387280.999512397,2.5321927381583006e-10,2.996120467133037e-20,-0.09786072075655843,465.7678758588967,5.992240896530451e-18,2.0797128178226908e-20,7.254066258997309e-08,0.09752107746510712,9143.999512396906,3.964429838536316e-17,4.690760383583813e-27,9.78607215964136,-5.357399992820183e-46,1.469367938527762e-39,-7.292115000396445e-07,0.0,0.0,1.1726615295546747e-20,-0.09752107746510713,303.22991162934574,0.4590411116038136,30148.633056457864,228.79937709490395,3.315214552690746e-22,-5.827146530942687e-14,-3.981789473900349e-06,-0.0,0.0,-0.0,0.0003216077166143805,0.0021828232469827476,0.09752099231517311,0.09752107746510712
0.0199999995529651,6387280.9980427865,9.315357516946722,1.1984481516048835e-19,6387280.998049579,1.9315620761517495e-09,1.1984481516048835e-19,-0.1957214360970644,465.7678757518549,1.198448086271303e-17,4.159365765249876e-20,2.8588121901052697e-07,0.195042149514058,9143.998049578537,3.024075622697e-16,1.8763040986780476e-26,9.78607216413103,-1.7143679979646198e-44,2.35098870164395e-38,-1.4584230003024082e-06,0.0,0.0,1.1726615295546747e-20,-0.195042149514058,303.2299179119894,0.4590411925585431,30148.639622659015,228.79938657592746,1.1672257209846765e-21,-1.1655035650290807e-13,-1.592715981991162e-05,-0.0,0.0,0.0,0.0006432153750211,0.008731293684680461,0.19504198463034628,0.195042149514058
0.0299999993294477,6387280.995596268,13.97303627363748,2.696508190939397e-19,6387280.995611553,6.454442518588622e-09,2.696508190939397e-19,-0.29358214058375526,465.767875573452,1.797671989230547e-17,6.238991515381084e-20,6.414484897732647e-07,0.29256321070898667,9143.99561155284,1.0105148846626936e-15,4.221683988526668e-26,9.786072171613794,-1.0286207990405127e-43,9.403954806572676e-38,-2.1876345010105156e-06,0.0,0.0,1.1726615295546747e-20,-0.2925632107089866,303.2299283830406,0.45904132748284443,30148.650566308097,228.79940237760138,4.682937661536426e-21,-1.7480771508082763e-13,-3.583611680562528e-05,-0.0,0.0,0.0,0.0009648230043239892,0.01964541566777733,0.2925629616138935,0.29256321070898667
0.0399999991059303,6387280.992171143,18.630715028187407,4.793792065170739e-19,6387280.992198317,1.524413564766292e-08,4.793792065170741e-19,-0.39144282878971665,465.7678753236879,2.3968957230435876e-17,8.318547811926139e-20,1.1392427523093236e-06,0.39008425562287546,9143.99219831755,2.3866392704943963e-15,7.505215554202283e-26,9.786072182089669,2.117582368133499e-22,3.0883308363710865e-28,-2.916846002386639e-06,0.0,0.0,1.1726615295546747e-20,-0.39008425562287546,303.22994304250886,0.4590415163768796,30148.665887419167,228.79942449994056,5.6636809152249535e-21,-2.3306632036008054e-13,-6.370867004369642e-05,-0.0,0.0,-0.0,0.0012864305172115,0.034925194247707,0.39008390793418884,0.39008425562287546
0.050000000745058,6387280.987767413,23.288393779882885,7.490299577135168e-19,6387280.987809867,2.9722905139806246e-08,7.490299577135168e-19,-0.48930349528802664,465.7678750025627,2.996119242631177e-17,1.0398022806584869e-19,1.779264076226213e-06,0.4876052788286985,9143.987809866983,4.6534519455982054e-15,1.172689849003107e-25,9.78607219555866,-1.3714943998371083e-42,7.523163845250139e-37,-3.6460575046534517e-06,0.0,0.0,1.1726615295546747e-20,-0.4876052788286986,303.2299618904179,0.4590417592410137,30148.6855860231,228.79945294298167,5.870871746003474e-21,-2.913614761360834e-13,-9.954483299190529e-05,-0.0,0.0,0.0,0.0016080379718914,0.0545706336049639,0.48760485425448424,0.4876052788286985
0.0599999986588954,6387280.982385075,27.946072528010298,1.078603035805857e-18,6387280.982446212,5.131302333438726e-08,1.0786030358058573e-18,-0.5871641346517524,465.7678746100764,3.595342287516959e-17,1.247718925401508e-19,2.56151183818334e-06,0.5851262748994199,9143.982446212498,8.033625493446712e-15,1.6886732222523455e-25,9.786072212020743,-4.235164736261367e-22,-9.264992507255412e-28,-4.375269008033624e-06,0.0,0.0,1.1726615295546747e-20,-0.58512627489942,303.2299849267182,0.4590420560746848,30148.709662075955,228.79948770665126,1.3821296826047243e-20,-3.49582951192941e-13,-0.00014334462295291517,-0.0,0.0,-0.0,0.0019296451937407,0.07858174628104181,0.5851257392482758,0.5851262748994199
0.0700000002980232,6387280.9760241285,32.603751271856055,1.4680984153075314e-18,6387280.976107344,8.143674957636904e-08,1.4680984153075316e-18,-0.6850247414539485,465.7678741462288,4.194565132726406e-17,1.4556355410779079e-19,3.4859863851759192e-06,0.6826472384079905,9143.976107343875,1.2749830464793448e-14,2.2984716357385733e-25,9.786072231475941,0.0,0.0,-5.104480512749832e-06,0.0,0.0,1.1726615295546747e-20,-0.6826472384079905,303.2300121514527,0.45904240687853853,30148.738115632088,228.79952879101555,2.8430603953725816e-20,-4.0781211170358477e-13,-0.00019510806107470138,-0.0,0.0,-0.0,0.0022512522991746,0.10695854621093019,0.6826466549053193,0.6826472384079905
0.0799999982118606,6387280.968684581,37.26143001070652,1.917516046297502e-18,6387280.968793266,1.2151634321071473e-07,1.9175160462975026e-18,-0.7828853102676528,465.7678736110199,4.793787490888258e-17,1.6635267136811055e-19,4.552687301947567e-06,0.7801681639273441,9143.96879326679,1.902473741243177e-14,3.002085011863466e-25,9.786072253924244,0.0,0.0,-5.833692019024738e-06,0.0,0.0,1.1726615295546747e-20,-0.780168163927344,303.23004356459586,0.4590428116523554,30148.77094667606,228.7995761960378,3.8571213917074175e-20,-4.659572959445358e-13,-0.0002548351723500646,-0.0,0.0,-0.0,0.0025728591717779,0.13970104454262328,0.780167509235859,0.7801681639273441
0.0900000035762786,6387280.960366421,41.91910874384809,2.4268559022973363e-18,6387280.960503979,1.729740852397299e-07,2.4268559022973363e-18,-0.8807458356658857,465.7678730044501,5.3930097072647784e-17,1.8714302925673727e-19,5.7616147277567305e-06,0.8776890460303982,9143.960503978973,2.7081020282233157e-14,3.7995133098166535e-25,9.786072279365651,-1.9749519413917597e-41,6.018531076177708e-36,-6.562903527081022e-06,0.0,0.0,1.1726615295546747e-20,-0.8776890460303981,303.23007916615626,0.45904327039637083,30148.808155229686,228.79962992173273,7.478047373478224e-22,-5.240852876968675e-13,-0.0003225259856170088,-0.0,0.0,0.0,0.0028944655787199,0.17680925242410567,0.8776883022398949,0.8776890460303982
