column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,-0.0137109,0.0221964,0.0849611,-2.1477e-07,3.4771e-07,1.33103e-06
gePosition_m_Y,2.61235e-05,4.51283e-05,0.0001841,0.000552231,0.00104393,0.00309586
gePosition_m_Z,2.189e-15,2.69613e-15,9.86231e-15,,,
feVelocity_m_s_X,3.29596e-16,3.41409e-16,1.18077e-15,,,
feVelocity_m_s_Y,6.1959e-06,9.21636e-06,3.33399e-05,0.00326393,0.0199642,0.334429
feVelocity_m_s_Z,0.00284285,0.00379717,0.0128409,0.00123332,0.00159822,0.00493881
altitudeMsl_m,-0.0137556,0.0221963,0.085017,-0.00023778,0.000410699,0.00171281
longitude_rad,4.0935e-12,7.07224e-12,2.88542e-11,0.000556363,0.00104667,0.00309719
latitude_rad,3.45178e-22,4.25198e-22,1.55547e-21,,,
localGravity_m_s2,1.28605e-06,8.48017e-07,2.77779e-06,1.31325e-05,8.65587e-06,2.83479e-05
eulerAngle_rad_Yaw,1.90934e-14,1.10619e-14,3.81936e-14,,,
eulerAngle_rad_Pitch,-1.74531e-11,1.59848e-17,1.74531e-11,-99.9987,1.99973e-05,99.9987
eulerAngle_rad_Roll,3.02384e-10,1.6743e-10,5.75908e-10,2.81489e-05,9.29981e-07,2.91167e-05
bodyAngularRateWrtEi_rad_s_Roll,1.86976e-11,1.10818e-12,2.09208e-11,,,
bodyAngularRateWrtEi_rad_s_Pitch,3.76996e-19,1.70587e-19,5.84261e-19,,,
bodyAngularRateWrtEi_rad_s_Yaw,-1.14437e-19,6.29025e-20,2.16175e-19,,,
altitudeRateWrtMsl_m_s,-0.00284285,0.00379717,0.0128409,-0.00123332,0.00159822,0.00493881
speedOfSound_m_s,-0.00211282,0.00247996,0.00848652,-0.000686695,0.000798676,0.00275438
airDensity_kg_m3,-0.000422811,0.000225881,0.000803438,-0.0765831,0.0386801,0.134967
ambientPressure_Pa,-45.8495,25.7964,92.9059,-0.120511,0.0628346,0.214829
ambientTemperature_K,-9.82305e-05,0.000160819,0.0003785,-4.07285e-05,6.64489e-05,0.000156522
aero_bodyForce_N_X,-2.49847e-10,2.38683e-10,8.16285e-10,-99.9987,1.26325e-05,99.9987
aero_bodyForce_N_Y,-4.31605e-07,7.10543e-07,2.69752e-06,-3.92165,16.4781,100
aero_bodyForce_N_Z,0.0106229,0.011543,0.0422737,0.074144,0.0386258,0.134609
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,1.16517e-05,1.29227e-05,5.94578e-05,0.00192084,0.00158375,0.00725665
dynamicPressure_Pa,-5.82347,6.32788,23.1745,-0.074144,0.0386258,0.134609
trueAirspeed_m_s,0.00296346,0.00385513,0.0130666,0.00131989,0.00159823,0.00502538
