column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,-0.000598366,0.041026,0.133068,572.336,908014
feVelocity_m_s_Y,0.00013266,0.000502188,0.00201237,7.71844e-05,0.00117214
feVelocity_m_s_Z,3.54339e-05,0.00157602,0.0122198,-25.0009,2877.85
altitudeMsl_m,-0.0061863,0.00367201,0.0306061,-0.000203066,0.00100468
longitude_rad,-0.000206132,8.70293e-05,0.000286178,-0.0319132,11.1131
latitude_rad,-4.80495e-08,6.56555e-08,2.92182e-07,-3.06067e-06,1.86115e-05
localGravity_m_s2,1.12453e-07,1.13048e-08,1.8763e-07,1.14483e-06,1.91017e-06
eulerAngle_rad_Yaw,2.97074e-05,0.000298819,0.00399173,0.00186053,0.253899
eulerAngle_rad_Pitch,1.13645e-05,1.12924e-05,8.4398e-05,0.0229179,0.182216
eulerAngle_rad_Roll,-0.000405161,0.000836071,0.00995525,-0.101715,6.16234
bodyAngularRateWrtEi_rad_s_Roll,7.30626e-06,0.00132666,0.0228849,0.19711,139.232
bodyAngularRateWrtEi_rad_s_Pitch,1.21517e-05,0.00011885,0.00151942,3.21618,3032.43
bodyAngularRateWrtEi_rad_s_Yaw,1.59768e-05,0.00115034,0.0307138,-5.63633,8890.89
altitudeRateWrtMsl_m_s,-3.54339e-05,0.00157602,0.0122198,25.0009,2877.85
speedOfSound_m_s,0.000284736,1.45902e-05,0.000381765,8.67044e-05,0.00011625
airDensity_kg_m3,-1.74957e-06,3.42201e-07,2.32542e-06,-0.000193339,0.000257017
ambientPressure_Pa,-0.013892,0.0325549,0.202608,-1.99288e-05,0.000290648
ambientTemperature_K,4.01724e-05,2.38452e-05,0.000198749,1.49697e-05,7.40613e-05
aero_bodyForce_N_X,-0.0891319,3.3894,49.9264,-0.00156556,0.772137
aero_bodyForce_N_Y,43.741,152.42,3566.2,12.077,1106.36
aero_bodyForce_N_Z,0.0325477,53.8315,528.678,-4.53133e-05,0.55129
aero_bodyMoment_Nm_L,-9.54758,536.491,20521.3,5.38137,6105.56
aero_bodyMoment_Nm_M,35594.2,530.146,36571.9,1.61297e+06,3.154e+07
aero_bodyMoment_Nm_N,-13.8067,550.19,12786.4,-13.77,22012.7
mach,6.39226e-07,1.55881e-07,2.2681e-06,0.0001222,0.000433549
trueAirspeed_m_s,0.000360304,4.60344e-05,0.00088425,0.000209742,0.000514704
