time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
0.0,6387281.000000209,-1.2192e-16,-6.096e-17,0.0,0.0,-0.0,9144.000000208911,0.0,0.0,9.78607215812132,0.0,303.2300147814493,0.4590407321854438,30148.69453988064,228.79900920821055,1.15653761996773e-14,0.015558618392550969,0.0,0.0,0.0,0.0
0.1,6387280.95123995,5.819448540912e-07,0.0,-1.2192e-16,0.00011417274096101592,0.9752022053902304,9143.951239956164,9.110967761260799e-14,0.0,9.786072307775864,-0.9752022053902305,303.23022420267773,0.4590434306488932,30148.91341223038,228.79932524147722,1.15653761996773e-14,0.015755993129421733,-0.0025203625426048703,0.0,0.0,0.0
0.2,6387280.804960335,1.3404239798670242e-05,6.096e-17,-2.7432000000000004e-16,0.000245242122673524,1.9503866348698256,9143.804960360647,2.0985838925979815e-12,0.0,9.786072756735933,-1.9503866348698253,303.23085246111094,0.45905152605563043,30149.570032417047,228.80027333466225,1.201019836120335e-14,0.01633483236519886,-0.005225937977753043,0.0,0.0,0.0
0.3,6387280.561163281,4.028335705393249e-05,0.0,-5.486400000000001e-16,0.0003957006704334797,2.9255514685078343,9143.56116328115,6.306808338605329e-12,0.0,9.786073504995851,-2.9255514685078348,303.2318995464927,0.4590650185254297,30150.664415601987,228.8018534762161,1.2899842684255449e-14,0.017256809061652476,-0.008281380632496277,0.0,0.0,0.0
0.4,6387280.219850801,8.327573822525927e-05,0.0,-1.0972800000000002e-15,0.0005677268486817915,3.9006938667277278,9143.219850813693,1.3037745648079298e-11,0.0,9.786074552549348,-3.900693866727728,303.2333654453006,0.45908390830402346,30152.196590784773,228.80406565227946,1.3789487007307548e-14,0.018470674622020174,-0.011818552732534604,0.0,0.0,0.0
0.5,6387279.781025364,0.0001446205931379965,0.0,-1.0972800000000002e-15,0.0007631357432917296,4.875810205637063,9142.781025374577,2.2641969635892474e-11,0.0,9.786075899389132,-4.875810205637063,303.23525014122265,0.45910819576913287,30154.166601303463,228.80690984740278,1.467913133035965e-14,0.019923250133105884,-0.01593497744923971,0.0,0.0,0.0
0.6,6387279.244689774,0.00022673787570756313,1.2192e-16,-1.0972800000000002e-15,0.0009833926258494229,5.85089629683841,9142.244689779787,3.549834939475078e-11,0.0,9.786077545506737,-5.85089629683841,303.237553614544,0.4591378814227369,30156.574504192828,228.81038604361777,1.60135978149378e-14,0.021566486800755943,-0.020699069544026928,0.0,0.0,0.0
0.7,6387278.610847262,0.00033217846879414416,-6.096e-17,-1.0972800000000002e-15,0.0012296599640098447,6.825947561987911,9141.610847276725,5.200625989074182e-11,0.0,9.78607949089243,-6.825947561987911,303.24027584196654,0.4591729658883409,30159.42036999706,228.8144942201667,1.734806429951595e-14,0.023360338390707745,-0.026157453896021508,0.0,0.0,0.0
0.8,6387277.8795015775,0.0004635796983751676,-6.096e-17,-3.2613600000000002e-15,0.001502853882761468,7.800959158655662,9140.879501589772,7.257860239165616e-11,0.0,9.786081735535033,-7.800959158655661,303.24341679650155,0.45921344991020335,30162.704282659146,228.81923435334002,1.8682530784094098e-14,0.025272926046338483,-0.032341576537164296,0.0,0.0,0.0
0.9,6387277.050656926,0.0006236717595040447,0.0,-2.1640800000000002e-15,0.001803696856577797,8.775926066259169,9140.05065693602,9.76428219939412e-11,0.0,9.786084279421953,-8.77592606625917,303.2469764473013,0.45925933435050154,30166.426339344238,228.8246064162178,2.0016997268672248e-14,0.02727947397557156,-0.03927270463004712,0.0,0.0,0.0
1.0,6387276.1243180325,0.0008152606275925882,6.096e-17,-1.0972800000000002e-15,0.0021327616528852627,9.750843143173213,9139.124318039014,1.2763823203295795e-10,0.0,9.78608712253896,-9.750843143173212,303.2509547596666,0.4593106201899498,30170.586650451653,228.83061037868612,2.179628591477645e-14,0.029360923044236313,-0.04696538984645223,0.0,0.0,0.0
1.1,6387275.100490138,0.001041192200193096,6.096e-17,-2.1640800000000002e-15,0.002490505960818035,10.72570516432584,9138.100490141253,1.6301038888680178e-10,0.0,9.786090264870445,-10.72570516432584,303.2553516949681,0.45936730852651114,30175.18533953076,228.83724620731113,2.31307523993546e-14,0.03150263809606611,-0.055429766078131375,0.0,0.0,0.0
1.2,6387273.979179005,0.0013043365034938663,-6.096e-17,-2.1640800000000002e-15,0.0028772989197422085,11.700506845976387,9136.979179016565,2.0420863629804488e-10,0.0,9.786093706399067,-11.700506845976387,303.26016721061916,0.4594294005750365,30180.222543257758,228.84451386530168,2.4910041045458798e-14,0.0336933445207819,-0.06467304653239625,0.0,0.0,0.0
1.3,6387272.760390942,0.0016076366180232038,0.0,-4.3281600000000005e-15,0.0032934411909936795,12.675242862162788,9135.760390962269,2.5169374817053084e-10,0.0,9.786097447106016,-12.675242862162788,303.2654012600844,0.4594968976676256,30185.698411444002,228.8524133125178,2.6244507530036945e-14,0.035924303166121246,-0.07470049580985165,0.0,0.0,0.0
