time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.0,6387281.000000211,0.0,0.0,6387281.000000211,0.0,0.0,0.0,465.7678758931653,0.0,0.0,0.0,0.0,9144.000000001135,0.0,0.0,9.786072158121431,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.6191747942405682e-20,-0.0,303.22998396963123,0.459050104915564,30149.23809906436,228.79937386033285,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951070948,46.57679275907919,-1.7473331230081165e-23,6387280.95124077,5.525735001922184e-06,-1.7473331230081165e-23,-0.9785986394254749,465.767978855968,-5.255439929182955e-22,-5.25543995599567e-22,0.00011364206825499965,0.975202205331408,9143.95124056025,8.651153822893566e-13,2.046169038516502e-28,9.786072307773475,0.0,2.220446049309322e-16,-7.292115865115365e-06,0.0,0.0,1.6191747942405682e-20,-0.975202205331408,303.2301933860383,0.45905280334515514,30149.45696856214,228.79968988685985,4.0533185581496977e-19,0.015756293386376234,-0.0025205282438903174,0.0,0.0,0.0,0.0203587858289203,8.747446232799488,6.173318486787119
0.2000000000000001,6387280.804281886,93.15359562279946,-1.4137072878390637e-22,6387280.80496117,2.3291962713660765e-05,-1.4137072878390637e-22,-1.9571795046649099,465.7680778908379,-2.1414527304459058e-21,-2.1414527736447183e-21,0.00024471457238775285,1.9503866339839093,9143.804960961334,3.64661636538185e-12,1.655485175558016e-27,9.786072756733551,0.0,2.220446049486236e-16,-1.4584233646616392e-05,0.0,0.0,1.6191747942405682e-20,-1.9503866339839093,303.2308216398924,0.45906089877761846,30150.113590524048,228.80063797474182,8.404501683116744e-19,0.01633508634367771,-0.005226281518269871,0.0,0.0,0.0,0.021106611141185,9.402081482057977,6.400092019560291
0.3000000000000002,6387280.559635698,139.73040827201388,-4.858155401121559e-22,6387280.561164092,5.511534033011877e-05,-4.858155401121559e-22,-2.93574077594355,465.76817495792045,-4.961003486543944e-21,-4.961003709059877e-21,0.00039517704036472467,2.9255514659374002,9143.56116388295,8.628921150768101e-12,5.689016613479761e-27,9.78607350499349,0.0,2.2204460497808763e-16,-2.1876353628919677e-05,0.0,0.0,1.6191747942405682e-20,-2.9255514659373993,303.23186871714387,0.4590743912838926,30151.20797614571,228.80221810670517,1.331835109066923e-18,0.017256976504249646,-0.008281924947296269,0.0,0.0,0.0,0.0222974759933629,10.493350184850128,6.761217609986339
0.4000000000000003,6387280.217134466,186.30723062184538,-1.1794973788439033e-21,6387280.219851617,0.00010304673201586927,-1.1794973788439033e-21,-3.9142796136815656,465.76827223649485,-9.15992885272934e-21,-9.159929573088262e-21,0.0005672080959406452,3.9006938612860647,9143.219851407552,1.6133115891111346e-11,1.3812197490120793e-26,9.786074552547017,0.0,2.220446050193043e-16,-2.9168476133115678e-05,0.0,0.0,1.6191747942405682e-20,-3.900693861286064,303.23333460460645,0.45909328111401876,30152.74015477787,228.80443026939813,1.9006931320071867e-18,0.018470702740528328,-0.011819329404939148,0.0,0.0,0.0,0.0238650944377477,12.021291814557635,7.236598297453146
0.5000000000000003,6387279.776780636,232.88406278729053,-2.3712013873742543e-21,6387279.781026181,0.00016933680062032283,-2.3712013873742543e-21,-4.89279239394711,465.76837154262074,-1.4961997004807377e-20,-1.4961998814881856e-20,0.0007626230066087062,4.875810195707185,9142.781025971855,2.6511567744902693e-11,2.7767337544542365e-26,9.78607589938679,0.0,2.220446050722502e-16,-3.646060151156702e-05,0.0,0.0,1.6191747942405682e-20,-4.875810195707185,303.235219285876,0.4591175686445431,30154.71016966069,228.80727444723072,2.5627081877828494e-18,0.01992307097129833,-0.01593602445869474,0.0,0.0,0.0,0.0257406618529754,13.98597081130433,7.805373994115815
0.6000000000000004,6387279.238577004,279.46090504717193,-4.23392017826285e-21,6387279.2446905915,0.0002563999514485926,-4.23392017826285e-21,-5.871274928249205,465.76847434270917,-2.2625551034300918e-20,-2.262555491256233e-20,0.0009828872367184506,5.850896280269314,9142.244690382735,4.014227993268407e-11,4.9580221803369735e-26,9.786077545504373,0.0,2.2204460513689815e-16,-4.375273014227885e-05,0.0,0.0,1.6191747942405682e-20,-5.850896280269314,303.237522741262,0.4591472543776403,30157.11807785344,228.81075062227208,3.3288829303099283e-18,0.021566015762324198,-0.020700429354559752,0.0,0.0,0.0,0.0278619871674091,16.3874753782892,8.4486903750786
0.7000000000000005,6387278.602526808,326.0377578113635,-6.967751080184058e-21,6387278.610848084,0.0003667815359344399,-6.967751080184058e-21,-6.849722638086473,465.7685818005449,-3.2432819144461836e-20,-3.243282659061414e-20,0.0012291634515207179,6.825947535993737,9141.610847875143,5.742375717124874e-11,8.159403802646457e-26,9.786079490890078,0.0,2.22044605213217e-16,-5.104486242375697e-05,0.0,0.0,1.6191747942405682e-20,-6.825947535993737,303.2402449475397,0.45918233893790716,30159.96394997544,228.8148587738749,4.2067157026835e-18,0.023359473513525728,-0.0261591720229135,0.0,0.0,0.0,0.0301772109218472,19.225916633441997,9.150826131802845
0.8000000000000006,6387277.868633795,372.61462159334104,-1.0801876103875382e-20,6387277.879502405,0.0005031303831811023,-1.0801876103875382e-20,-7.8281306808003235,465.76869483375316,-4.4682207076136914e-20,-4.468222026869187e-20,0.0015023679728145296,7.800959119717418,9140.879502196125,7.877070524764806e-11,1.264925625835481e-25,9.786081735532662,0.0,2.2204460530117084e-16,-5.833699877070556e-05,0.0,0.0,1.6191747942405682e-20,-7.800959119717415,303.2433858775894,0.4592228230677162,30163.247869830422,228.81959887813073,5.201263742257815e-18,0.025271547689744094,-0.03234370054612237,0.0,0.0,0.0,0.032645022255273,22.501428029215084,9.899258672471376
0.9000000000000007,6387277.036902166,419.19149698826374,-1.599589909737727e-20,6387277.050657755,0.0006681768692795755,-1.599589909737727e-20,-8.806494035502359,465.7688141664962,-5.968303569022861e-20,-5.968305766805091e-20,0.0018032234746293634,8.775926010027511,9140.050657545778,1.0461059759585547e-10,1.8731581886309492e-25,9.786084279419548,0.0,2.220446054007189e-16,-6.562913961059765e-05,0.0,0.0,1.6191747942405682e-20,-8.775926010027513,303.24694550065084,0.459268707630488,30166.9699346734,228.8249709082529,6.3159472911242304e-18,0.02727744471260092,-0.03927528346419494,0.0,0.0,0.0,0.0352332859701343,26.214164960544217,10.684247759638755
