time,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,trueAirspeed_m_s
0.0,304.8,0.0,-304.8,0.0,0.0,0.0,9.814197669,0.0,0.0,0.0,7.289999999989351e-05,0.0,0.0,304.8,340.29372012240003,1.2250039125042,101325.14585817013,288.15,-146.79532301952491,0.0,146.79532301952491,0.0,0.0,0.0,1.266706578,431.05192044527763
0.1,303.79814596104,-0.0042034964952,-302.82460695816,30.381110032680002,-3.141592653589793e-11,4.7709447767890994e-06,9.814113358272001,-4.171336912266447e-15,4.7724457599458155e-06,2.5132741228718345e-11,7.289999999989351e-05,0.0,0.0,302.82460694800005,340.177111872,1.221560666621142,100971.10241730112,287.9525531666667,-145.34924344850089,0.0017997148797614761,144.9288646650906,0.0,0.0,0.0,1.260953779,428.9472431002416
0.2,302.80727898672,-0.0085861449816,-300.86336117784003,60.5653932708,-1.3177235852557188e-10,9.526251403480331e-06,9.814020257112004,-1.9547687622336492e-14,9.529305729671319e-06,1.186823891356144e-10,7.289999999989351e-05,0.0,0.0,300.863361188,340.0612189872,1.218139582027258,100619.73596171167,287.7563852222222,-143.76682793115103,0.0038680845521982254,142.88759782902676,0.0,0.0,0.0,1.255249916,426.8614467760048
0.3,301.82717014176,-0.012926280573600001,-298.91595950496003,90.55424604888,-3.0019663134302465e-10,1.4266076959706371e-05,9.81392776250401,-4.642575810304916e-14,1.4270667175639116e-05,2.8099800957108704e-10,7.289999999989351e-05,0.0,0.0,298.9159594948,339.94603750560003,1.2147406587225482,100271.02393979981,287.5614875555556,-142.20947249336172,0.005884828164568261,140.87987205185516,0.0,0.0,0.0,1.249593999,424.79416081566524
0.4,300.85764956112,-0.0172244525208,-296.98217532072,120.34904135376,-5.375614096142534e-10,1.899061343168494e-05,9.813835868352019,-8.429940287132613e-14,1.8996722084066923e-05,5.096361415823443e-10,7.289999999989351e-05,0.0,0.0,296.9821753004,339.83156316,1.2113638967070122,99924.9499286367,287.3678516111111,-140.67663320659383,0.007851209011810318,138.90496236241685,0.0,0.0,0.0,1.243985322,422.7451105061268
0.5,299.89855097640003,-0.0214811991,-295.06178663928,149.95112984568001,-8.395033702092725e-10,2.369998299246368e-05,9.81374456551203,-1.333431548523668e-13,2.3707610081294896e-05,8.063421144213802e-10,7.289999999989351e-05,0.0,0.0,295.0617866088,339.7177907688,1.208008780601832,99581.48520006699,287.17546788888893,-139.16782214541843,0.009768441458425361,136.96220428536702,0.0,0.0,0.0,1.238423194,420.7140271532884
0.6,298.94971150248,-0.025697047005600004,-293.15457610776,179.36184014784,-1.2095131716320705e-09,2.8394395081552827e-05,9.81365385703204,-1.937315469713706e-13,2.840350570024824e-05,1.1711159280881952e-09,7.289999999989351e-05,0.0,0.0,293.1545760976,339.6047163696,1.204675310407008,99240.6074897702,286.98432772222225,-137.6825387959393,0.011637717627806281,135.05092542752627,0.0,0.0,0.0,1.232906937,418.70064782482166
0.7,298.01097157656,-0.0298725110448,-291.26033085384,208.58247939504002,-1.6458454846306528e-09,3.3073989325292546e-05,9.813563736816057,-2.635447170511438e-13,3.308456602055963e-05,1.5987215948268058e-09,7.289999999989351e-05,0.0,0.0,291.260330864,339.4923347808,1.20136348612254,98902.28869203436,286.79442255555557,-136.2203118690763,0.01346019850579466,133.17048671289515,0.0,0.0,0.0,1.227435889,416.70471509294885
0.8,297.0821748972,-0.034008095966400004,-289.37884236384,237.6143336604,-2.1467549799530254e-09,3.773892280331551e-05,9.813474198768072,-3.455751918948772e-13,3.775096557515427e-05,2.0943951023931954e-09,7.289999999989351e-05,0.0,0.0,289.37884237400004,339.38064295440006,1.198073307748428,98566.5191829274,286.6057447222222,-134.7806654051167,0.015237000596015928,131.32024902099198,0.0,0.0,0.0,1.222009402,414.7259773431096
0.9,296.16316836336,-0.0381042955464,-287.50990639128,266.45866838208,-2.705260340591211e-09,4.238933514196188e-05,9.81338524288809,-4.380776422505767e-13,4.24028265370798e-05,2.652900463031381e-09,7.289999999989351e-05,0.0,0.0,287.5099063608,339.2696363184,1.194804259905854,98233.27100037805,286.4182857777778,-133.3631436837559,0.016969218160987443,129.49959742966067,0.0,0.0,0.0,1.21662684,412.7641880022948
