time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s,feVelocity_m_s_Z_1
0.0,6378137.000000001,0.0,0.0,6378137.000000001,0.0,0.0,304.80000000000007,465.10108489755,304.79999999999995,304.8,0.0,-304.8,0.0,0.0,0.0,9.81419735327356,0.0,-0.0,0.0,7.292114999999996e-05,0.0,2.79183632379757e-20,304.80000000000007,340.29371844685693,1.2250039125041485,101325.16165865559,288.15,-146.79529249781558,-0.0,146.79529249781558,0.0,0.0,0.0,1.2667065858840942,113806.58289375546,431.0519179787598,-304.8
0.0099999997764825,6378140.047006564,4.651010848978013,3.0474972274648175,6378140.047008261,-2.221910539998362e-06,3.0474972274648184,304.6013405419831,465.10108489838086,304.69946696457106,304.6993204439428,-0.0004443093334120071,-304.6018262663958,3.0470089946090604,-3.4836339804745646e-13,4.810235887556894e-07,9.81418796106085,2.246036126815427e-22,4.810235890717653e-07,3.483633979725888e-13,7.292114999999996e-05,4.081577607021832e-42,2.79183632379757e-20,304.6018262663958,340.2820234620917,1.2246456120406572,101288.56274632117,288.13019445102844,-146.63203372749257,0.00021381723233968898,146.58497507722467,0.0,0.0,0.0,1.2661291360855105,113661.7731651802,430.8406015651856,-304.6018262663958
0.0199999995529651,6378143.092027278,9.302021697972867,6.09398970128123,6378143.0920340605,-8.884737425228196e-06,6.09398970128123,304.40282805194283,465.1010849008677,304.59904789307274,304.5987550905568,-0.0008881829681306177,-304.4037993554142,6.09203699178237,-1.3929975068017412e-12,9.618889695997954e-07,9.81417857496792,1.4973583614607665e-22,9.61888969697215e-07,1.3929975066520061e-12,7.292114999999996e-05,8.163155214043664e-42,2.79183632379757e-20,304.4037993554142,340.2703356904017,1.2242876249692847,101251.99835833926,288.1104017975025,-146.46905163321753,0.0004270905638953156,146.3750238207324,0.0,0.0,0.0,1.2655521631240845,113517.22060596471,430.6294735466309,-304.4037993554142
0.0299999993294477,6378146.135063585,13.953032547000026,9.139478542238258,6378146.1350788465,-1.998412899386608e-05,9.139478542238258,304.2044593937145,465.101084904812,304.4987403589318,304.4983015134441,-0.0013316215231029202,-304.20591613062334,9.135085438935473,-3.1332190530970067e-12,1.4425945761259936e-06,9.814169194990289,1.4973606846512203e-22,1.4425945760178224e-06,3.1332190523483287e-12,7.292114999999996e-05,1.2244732821065495e-41,2.79183632379757e-20,304.2059161306234,340.25865512695236,1.223929950950396,101215.46845398315,288.09062202997694,-146.3063432865668,0.0006398214157076763,146.1654352824769,0.0,0.0,0.0,1.264975666999817,113372.91352659262,430.41856532226564,-304.20591613062334
0.0399999991059303,6378149.176116925,18.604043396073248,12.18396486477235,6378149.176144061,-3.55157394575599e-05,12.183964864772351,304.00623431897657,465.10108491005167,304.39854417479773,304.3979595246928,-0.00177462557992005,-304.00817634417086,12.17615577547348,-5.5683456872407485e-12,1.92314126211635e-06,9.814159821123488,1.3029786594138608e-27,1.923141262350233e-06,5.568345687240746e-12,7.292114999999996e-05,1.6326310428087327e-41,2.79183632379757e-20,304.00817634417086,340.2469817669389,1.2235725896454908,101178.97299266611,288.07085513905855,-146.1439080735707,0.000852011187225492,145.9562086439456,0.0,0.0,0.0,1.264399766921997,113228.85192706392,430.20781409375,-304.00817634417086
0.050000000745058,6378152.215188732,23.255054245204686,15.227449781448534,6378152.215231127,-5.547522885594845e-05,15.227449781448534,303.80815257996744,465.1010849164252,304.2984591537399,304.29772893706644,-0.002217195718369855,-303.81057974850887,15.215249426446437,-8.697695975877266e-12,2.4035290444357644e-06,9.814150453363101,8.409611620790045e-28,2.403529044348619e-06,8.697695975278327e-12,7.292114999999996e-05,2.040788803510916e-41,2.79183632379757e-20,303.8105797485089,340.23531560561054,1.2232155407182321,101142.51193401725,288.0511011154477,-145.98174538217157,0.0010636612734434474,145.7473430891148,0.0,0.0,0.0,1.263824224472046,113085.03580737863,429.99728265942383,-303.81057974850887
0.0599999986588954,6378155.2522804355,27.906065094404852,18.269934402964644,6378155.252341486,-7.985826298086067e-05,18.269934402964648,303.6102139294841,465.10108492377117,304.19848510924646,304.19760956335506,-0.0026593325174071323,-303.6131260970419,18.252367828761585,-1.2520589390097378e-11,2.883759235434156e-06,9.814141091704677,2.809204557725657e-27,2.8837592356288913e-06,1.2520589388300553e-11,7.292114999999996e-05,2.448946564213099e-41,2.79183632379757e-20,303.61312609704197,340.2236566381697,1.222858803830944,101106.08523756672,288.0313599497677,-145.8198546018505,0.0012747730653794663,145.5388378040753,0.0,0.0,0.0,1.2632492780685425,112941.4768570531,429.7869082209473,-303.6131260970419
0.0700000002980232,6378158.287393468,32.55707594368269,21.31141983815548,6378158.287476563,-0.00010866051342612764,21.311419838155487,303.41241812088043,465.10108493192894,304.0986218552236,304.0976012171342,-0.0031010365543912358,-303.415815143363,21.287512407186643,-1.7036346313242374e-11,3.3638319393711616e-06,9.814131736143796,-2.994693496349073e-22,3.363831939330796e-06,1.7036346311745025e-11,7.292114999999996e-05,2.8571043249152827e-41,2.79183632379757e-20,303.415815143363,340.21200485986486,1.2225023786479092,101069.69286303382,288.0116316327207,-145.65823512395778,0.0014853479497238464,145.33069197736012,-0.0,-0.0,0.0,1.2626748085021973,112798.16338657097,429.57675357666017,-303.415815143363
0.0799999982118606,6378161.320529256,37.20808679304551,24.351907193996986,6378161.320637787,-0.00014187765753343913,24.35190719399699,303.21476490806566,465.1010849407382,303.9988692059934,303.9977037127622,-0.0035423084055713466,-303.2186466412533,24.320684588324227,-2.2244288032409314e-11,3.843746055752249e-06,9.814122386676027,5.2506458592381974e-27,3.843746056000499e-06,2.224428803001354e-11,7.292114999999996e-05,3.2652620856174654e-41,2.79183632379757e-20,303.2186466412534,340.2003602659357,1.2221462648333576,101033.33477015902,287.99191615499717,-145.49688634151124,0.001695387309083837,145.1229047997411,0.0,0.0,0.0,1.2621008157730105,112655.09539593225,429.3667873273926,-303.2186466412533
0.0900000035762786,6378164.351689223,41.85909764249902,27.391397575610394,6378164.351826582,-0.00017950537839667505,27.391397575610394,303.0172540455027,465.10108495003885,303.89922697629385,303.8979168649987,-0.003983148645324014,-303.02162034506165,27.351885794931153,-2.8143736739124355e-11,4.323500527913453e-06,9.814113043296967,-5.98933915015523e-22,4.323500528150595e-06,2.8143736736129635e-11,7.292114999999996e-05,3.673419846319649e-41,2.79183632379757e-20,303.02162034506165,340.1887228516361,1.2217904620523452,100997.01091877214,287.97221350731246,-145.33580764927004,0.0019048925216324144,144.9154754643011,0.0,-0.0,0.0,1.2615272998809814,112512.27288513693,429.15700947314457,-303.02162034506165
