time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa
0.0,6387281.000012401,0.0,0.0,0.0,465.76787589444,0.0,0.0,0.0,-0.0,9144.0,0.0,0.0,9.78607215813912,0.0,0.0,0.0,0.0,0.0,0.0,303.2301256063032,0.4590404150549219,30148.940285576737,228.79937393444447,-0.0,0.19059291351543736,-0.0,0.0,0.0,0.0,0.0703624020118,104.48331268071308
0.1,6387280.951061521,46.576852777934405,0.0,-0.978577365500232,465.76917867364807,0.0,0.0,0.0013134584321716082,0.9751809182804401,9143.95124044296,1.0261716210384274e-11,0.0,9.786072307781787,0.0,0.0,-7.292125261714993e-06,0.0,0.0,0.0,303.2303350231056,0.4590431134840986,30149.159156726313,228.79968996166667,-0.0,0.1907669930892319,-0.008718378216611632,0.0,0.0,0.0,0.0704310006253,104.68790040162281
0.2,6387280.80430032,93.15383558141521,0.0,-1.957094871142536,465.77047685952004,0.0,0.0,0.002643680371045752,1.9503019479755521,9143.80496582568,4.121479759553345e-11,0.0,9.786072756709794,0.0,0.0,-1.4584271214796962e-05,0.0,0.0,0.0,303.2309632561392,0.4590512086247458,30149.81576002442,228.8006380177778,-0.0,0.19133458911117218,-0.017489532513998388,0.0,0.0,0.0,0.0706449516974,105.32718952249317
0.3,6387280.559667841,139.73094808583042,0.0,-2.93555200032444,465.77177313429604,0.0,0.0,0.00399334900194744,2.9253625722390244,9143.56118209176,9.314273477946969e-11,0.0,9.786073504953622,0.0,0.0,-2.187643814277464e-05,0.0,0.0,0.0,303.232010276448,0.4590647003629648,30150.910091688518,228.80221806277777,-0.0,0.19229193775012088,-0.026367277101876262,0.0,0.0,0.0,0.0710029022067,106.40111896678701
0.4,6387280.217164081,186.30819023326802,0.0,-3.9139478711284803,465.773070155832,0.0,0.0,0.0053651137057176,3.90036190880592,9143.2198953372,1.6637078365856745e-10,0.0,9.78607455242184,0.0,0.0,-2.916862637078542e-05,0.0,0.0,0.0,303.2334760541616,0.45908358872761673,30152.44216311412,228.8044300588889,-0.0,0.19363296905227104,-0.035404338774546955,0.0,0.0,0.0,0.0715026480116,107.9096571488551
0.5,6387279.776880481,232.8855622282488,0.0,-4.892281245481441,465.774370517976,0.0,0.0,0.006761574806414401,4.875298719182401,9142.781111779921,2.61265315245114e-10,0.0,9.786075899114449,0.0,0.0,-3.646083626531353e-05,0.0,0.0,0.0,303.2353605563616,0.45910787388723057,30154.412000731107,228.80727396555557,-0.0,0.1953494818523372,-0.04465187672025903,0.0,0.0,0.0,0.0721411982854,109.85280132084938
0.6,6387279.2387256,279.4630645331544,0.0,-5.870550541303681,465.77567676580804,0.0,0.0,0.00818526970914336,5.85017142070056,9142.24483772928,3.782329370639217e-10,0.0,9.786077545061936,0.0,0.0,-4.3753068233020694e-05,0.0,0.0,0.0,303.2376637486056,0.45913755614948737,30156.819645716525,228.81074974166665,-0.0,0.19743137203137873,-0.054159064437217574,0.0,0.0,0.0,0.0729148596615,112.23057693783072
0.7,6387278.6027604,326.040697860912,0.0,-6.848753847377281,465.776991362112,0.0,0.0,0.00963866074320384,6.82497810162432,9141.611079708,5.17719410633501e-10,0.0,9.786079490172867,0.0,0.0,-5.104532271948946e-05,0.0,0.0,0.0,303.24038559309844,0.4591726359570976,30159.66515404238,228.81485734555557,-0.0,0.19986689972325156,-0.06397274613813404,0.0,0.0,0.0,0.0738193347756,115.04303704968966
0.8,6387277.868984881,372.618463161888,0.0,-7.82688894027768,465.77831668432805,0.0,0.0,0.0111241249280328,7.799716537767121,9140.8798443912,6.802083933721732e-10,0.0,9.786081734477726,0.0,0.0,-5.833760020835058e-05,0.0,0.0,0.0,303.2435260508256,0.45921311388831626,30162.948596140548,228.81959673444445,-0.0,0.20264297991826047,-0.07413717435701721,0.0,0.0,0.0,0.0748498294669,118.29026172371049
0.9,6387277.037368561,419.19636162998404,0.0,-8.8049533027836,465.7796550184561,0.0,0.0,0.012643945766129521,8.77438421108472,9140.051138758801,8.662200361279286e-10,0.0,9.786084277946042,0.0,0.0,-6.562990122006122e-05,0.0,0.0,0.0,303.2470850785056,0.45925899065436615,30166.670056854833,228.82496786388887,-0.0,0.20574548124753655,-0.08469382997968695,0.0,0.0,0.0,0.0760011630217,121.97235749586343
