time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
0.0,6387281.000000209,-1.2192e-16,-6.096e-17,0.0,0.0,-0.0,9144.000000208911,0.0,0.0,9.78607215812132,0.0,303.2300147814493,0.4590407321854438,30148.69453988064,228.79900920821055,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951239675,-3.4268288947257602e-06,-6.096e-17,-1.2192e-16,7.111341149217121e-06,0.9752098782031552,9143.951239692726,-5.36508976075301e-13,0.0,9.786072307776656,-0.9752098782031552,303.2302242040725,0.4590434306668799,30148.913413688093,228.79932524358222,1.405638030422318e-13,0.19079056872561684,-0.0087177858604506,0.0,0.0,0.0
0.2,6387280.804962133,5.998912344170113e-05,0.0,-5.486400000000001e-16,0.0013375085302267844,1.9503309192935605,9143.804962152413,9.391965770831886e-12,0.0,9.786072756730414,-1.9503309192935605,303.2308524519035,0.4590515259369903,30149.57002279403,228.80027332076725,1.4100862520375784e-13,0.19135836403021325,-0.017488079091223498,0.0,0.0,0.0
0.3,6387280.561175503,0.0002573952227751187,-6.096e-17,-5.486400000000001e-16,0.00268736257411919,2.925391551062316,9143.561175522618,4.0298092104197786e-11,0.0,9.786073504958301,-2.925391551062316,303.2318994924733,0.45906501782930753,30150.66435914149,228.8018533946961,1.4189826952680995e-13,0.19231604281483441,-0.02636494075800329,0.0,0.0,0.0
0.4,6387280.219885884,0.0005908756290081463,-6.096e-17,-5.486400000000001e-16,0.004059322741920184,3.900390891246507,9143.219885883767,9.250817329031675e-11,0.0,9.786074552441724,-3.900390891246507,303.2333652933035,0.45908390634532625,30152.19643191209,228.8040654229017,1.4278791384986202e-13,0.1936575396460336,-0.035401086293243414,0.0,0.0,0.0
0.5,6387279.7810994005,0.0010627600712030335,-1.2192e-16,-1.0972800000000002e-15,0.0054559892109989115,4.875327701380966,9142.781099427564,1.6638696045357535e-10,0.0,9.786075899161874,-4.875327701380966,303.23524982189343,0.4591081916539876,30154.16626750935,228.80690936550167,1.441223803344402e-13,0.19537465957390893,-0.044647664039587864,0.0,0.0,0.0
0.6,6387279.244822454,0.0016756522710248592,-6.096e-17,-2.1640800000000002e-15,0.006879899211024016,5.85020039902777,9142.244822480869,2.623421031660448e-10,0.0,9.786077545099461,-5.85020039902777,303.2375530434269,0.4591378740623028,30156.57390716215,228.81038518173557,1.4545684681901836e-13,0.19745730628013108,-0.05415383729935109,0.0,0.0,0.0
0.7,6387278.611061538,0.002432406005417579,0.0,-1.0972800000000002e-15,0.008333514875039746,6.825007072619313,9141.61106154759,3.8082040222557727e-10,0.0,9.786079490234794,-6.825007072619312,303.2402749206323,0.45917295401365216,30159.419406776527,228.8144928297539,1.4723613546512254e-13,0.1998937491390976,-0.06396644083677878,0.0,0.0,0.0
0.8,6387277.879823324,0.0033361000496652153,-1.2192e-16,-1.0972800000000002e-15,0.00981921301108122,7.799745498377321,9140.879823339517,5.223038844103177e-10,0.0,9.786081734547542,-7.799745498377322,303.243415413666,0.45921343208603305,30162.702836813507,228.81923226643946,1.4946024627275278e-13,0.2026709136622153,-0.07412971855465728,0.0,0.0,0.0
0.9,6387277.051114797,0.004390057582544054,0.0,-2.1640800000000002e-15,0.0113392769027178,8.774413158745645,9140.051114806885,6.87312848078249e-10,0.0,9.786084278016643,-8.774413158745647,303.2469744799761,0.4592593089902561,30166.424282146883,228.8246034472028,1.5168435708038304e-13,0.20577468012083355,-0.08468514355491455,0.0,0.0,0.0
1.0,6387276.1249431465,0.005597836509302213,0.0,-1.0972800000000002e-15,0.01289589014653047,9.749007261780363,9139.124943160985,8.764043394947545e-10,0.0,9.786087120620367,-9.749007261780365,303.2509520741723,0.4593105855685531,30170.58384192685,228.83060632578335,1.5390846788801328e-13,0.20919017671682102,-0.09567131698099424,0.0,0.0,0.0
1.1,6387275.101315902,0.006963196573442825,6.096e-17,-2.1640800000000002e-15,0.014491132445930931,10.723524760982258,9138.101315907303,1.0901670058566545e-09,0.0,9.786090262336003,-10.72352476098226,303.25534814790876,0.45936726279287715,30175.181629458795,228.8372408540717,1.5702222301869563e-13,0.21290205609607013,-0.10712393829816245,0.0,0.0,0.0
1.2,6387273.980240867,0.008490083160912942,0.0,-2.1640800000000002e-15,0.016126977222281083,11.697962375113548,9136.980240870362,1.3292185663101195e-09,0.0,9.786093703140024,-11.697962375113548,303.26016264980774,0.4594293417637165,30180.217772123873,228.8445069819928,1.5969115598785191e-13,0.2168947468621696,-0.11907583715697284,0.0,0.0,0.0
1.3,6387272.76172621,0.010182673350682653,0.0,-4.3281600000000005e-15,0.017805290845969653,12.67231660761602,9135.76172621301,1.5942130131791644e-09,0.0,9.786097443007861,-12.67231660761602,303.2653955253181,0.4594968237086006,30185.69241123344,228.85240465729333,1.628049111185343e-13,0.22115267466867702,-0.1315570556796505,0.0,0.0,0.0
1.4,6387271.445780435,0.012045285807378946,-6.096e-17,-4.3281600000000005e-15,0.01952783327192881,13.646583765323324,9134.445780451297,1.8858265079599624e-09,0.0,9.78610148191382,-13.646583765323324,303.2710467166927,0.45956970998163565,30191.605702005876,228.86093382550166,1.6636348841074267e-13,0.22566045015184774,-0.1445949697491183,0.0,0.0,0.0
1.5,6387270.032412471,0.014082438298059037,-6.096e-17,-2.1640800000000002e-15,0.021296259846740745,14.620759976239192,9133.032412490687,2.204766390710446e-09,0.0,9.786105819831198,-14.620759976239192,303.2771161628337,0.45964800206149503,30197.957813406916,228.87009442969725,1.6947724354142505e-13,0.23040302323065145,-0.15821443843009553,0.0,0.0,0.0
1.6,6387268.521631617,0.016298774957983164,-6.096e-17,-2.1640800000000002e-15,0.02311212406355568,15.594841206221934,9131.521631622705,2.551759786540945e-09,0.0,9.786110456732018,-15.594841206221936,303.28360379927284,0.45973170155110993,30204.748928132023,228.87988641047556,1.7348064299515947e-13,0.2353658050472154,-0.1724379717543204,0.0,0.0,0.0
