column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,-0.00836766,0.0562051,0.153024,-0.177131,77.533
feVelocity_m_s_Y,-0.00852426,0.0421073,0.079851,-0.122758,89.5414
feVelocity_m_s_Z,1.82133e-05,0.00201038,0.0161935,-43.2377,73154.1
altitudeMsl_m,-0.00399463,0.00493979,0.0377969,-0.00013112,0.00124068
longitude_rad,-6.77116e-09,2.22537e-07,3.27098e-07,-2.15539e-07,1.04119e-05
latitude_rad,1.31778e-07,1.43432e-07,3.2524e-07,0.148968,118.514
localGravity_m_s2,-3.37839e-08,1.5206e-08,7.02678e-08,-3.44564e-07,7.16667e-07
eulerAngle_rad_Yaw,0.000300691,0.000316463,0.00101816,0.0618777,21.6568
eulerAngle_rad_Pitch,9.76968e-06,1.30269e-05,9.69469e-05,0.0198372,0.194574
eulerAngle_rad_Roll,-0.000352321,0.00106779,0.0132857,-0.0712514,2.60444
bodyAngularRateWrtEi_rad_s_Roll,1.1282e-05,0.00148881,0.0270115,-0.495332,159.307
bodyAngularRateWrtEi_rad_s_Pitch,8.9709e-06,9.08622e-05,0.00165203,0.0846331,51.4626
bodyAngularRateWrtEi_rad_s_Yaw,7.23363e-06,0.000122309,0.00214849,0.0411165,26.2868
altitudeRateWrtMsl_m_s,-1.82133e-05,0.00201038,0.0161935,43.2377,73154.1
speedOfSound_m_s,0.000276028,1.96275e-05,0.000410336,8.40527e-05,0.00012495
airDensity_kg_m3,-1.95376e-06,4.60339e-07,2.65104e-06,-0.000215908,0.000292964
ambientPressure_Pa,-0.0333202,0.043794,0.266358,-4.78004e-05,0.000382105
ambientTemperature_K,2.59402e-05,3.20779e-05,0.000245444,9.66632e-06,9.14618e-05
aero_bodyForce_N_X,-0.159478,2.70665,37.3,-0.00277459,0.652043
aero_bodyForce_N_Y,39.2001,14.2685,210.259,9.78154,1262.85
aero_bodyForce_N_Z,1.41327,60.1156,695.193,0.0013626,0.669607
aero_bodyMoment_Nm_L,-6.84622,495.223,19524.4,-3.57934,4737.4
aero_bodyMoment_Nm_M,35455.6,547.178,36401.9,2.40834e+06,1.11036e+09
aero_bodyMoment_Nm_N,-0.510907,44.0689,619.301,13.7704,8802.02
mach,1.4088e-06,1.84146e-07,1.67208e-06,0.000269317,0.00031962
trueAirspeed_m_s,0.000606923,5.18421e-05,0.000685941,0.000353304,0.000399273
