column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,0.266024,0.138774,0.444042,4.16623e-06,2.17389e-06,6.95652e-06
gePosition_m_Y,-0.74116,0.42219,1.45022,-943.636,5263.03,73287.2
gePosition_m_Z,-0.286919,0.163137,0.560118,,,
feVelocity_m_s_X,-0.0186128,0.00135294,0.0195713,,,
feVelocity_m_s_Y,-0.0481919,0.00338286,0.0504537,-434.518,2748.93,39874.5
feVelocity_m_s_Z,-0.0147222,0.00568901,0.0196178,-0.0400992,0.142854,2.00693
altitudeMsl_m,0.265977,0.138773,0.44399,0.00385557,0.00253406,0.00894456
longitude_rad,-1.16075e-07,6.61379e-08,2.27196e-07,-943.636,5263.03,73287.2
latitude_rad,-4.52378e-08,2.57283e-08,8.83411e-08,,,
localGravity_m_s2,4.26576e-07,3.71162e-07,1.15082e-06,4.35559e-06,3.78886e-06,1.17444e-05
eulerAngle_rad_Yaw,-2.29541e-16,7.11805e-16,1.61992e-15,,,
eulerAngle_rad_Pitch,-4.52378e-08,2.57283e-08,8.83411e-08,,,
eulerAngle_rad_Roll,3.14159,6.63375e-08,3.14159,902159,3.05655e+06,4.3082e+07
bodyAngularRateWrtEi_rad_s_Roll,2.116e-11,1.23805e-12,2.34656e-11,,,
bodyAngularRateWrtEi_rad_s_Pitch,-5.68824e-18,2.38631e-17,6.993e-17,,,
bodyAngularRateWrtEi_rad_s_Yaw,-5.39184e-17,1.33036e-16,2.86199e-16,,,
altitudeRateWrtMsl_m_s,0.0147222,0.00568901,0.0196178,0.0400992,0.142854,2.00693
speedOfSound_m_s,-0.00328113,0.0024336,0.00996976,-0.00106126,0.000781907,0.0031579
airDensity_kg_m3,-0.000441586,0.000230851,0.000841592,-0.0797709,0.0390734,0.137574
ambientPressure_Pa,-47.4686,26.2854,96.3198,-0.124447,0.0633435,0.218046
ambientTemperature_K,-0.00191246,0.00103636,0.00363107,-0.000789958,0.000405243,0.00143558
aero_bodyForce_N_X,-7.41709e-16,4.94501e-16,1.74926e-15,,,
aero_bodyForce_N_Y,-0.42564,0.267622,0.930208,-100,0,100
aero_bodyForce_N_Z,14.3206,13.6734,46.7696,100,0,100
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,-2.68613e-05,2.87473e-05,0.000154452,0.00247436,0.078609,0.758655
dynamicPressure_Pa,-7.40118,7.27275,26.6989,-0.0768841,0.163086,1.45216
trueAirspeed_m_s,-0.00965102,0.00875172,0.0468123,0.00149971,0.07871,0.758292
