column,abs_mean,abs_std,abs_max,rel_mean_%,rel_max_%
feVelocity_m_s_X,0.0490845,0.0291321,0.129914,0.0413668,0.110769
feVelocity_m_s_Y,-0.0252389,0.0263304,0.046433,-0.0213223,0.039542
feVelocity_m_s_Z,-0.000775641,0.0116387,0.0269141,-52.8408,247.138
altitudeMsl_m,0.0347924,0.0234422,0.07108,0.00114019,0.00232957
longitude_rad,-2.34066e-07,1.79577e-07,5.61708e-07,-1.77265e-05,4.25437e-05
latitude_rad,7.38377e-07,4.02142e-07,1.41596e-06,0.000117408,0.000225103
localGravity_m_s2,-6.67093e-05,6.73692e-06,7.82399e-05,-0.000679934,0.000797457
eulerAngle_rad_Yaw,-0.000268308,5.80607e-05,0.000302388,-0.0341429,0.038478
eulerAngle_rad_Pitch,-4.46361e-07,9.37547e-05,0.00061566,0.00178795,1.23644
eulerAngle_rad_Roll,0.00209441,0.000544465,0.002999,57.5896,107.036
bodyAngularRateWrtEi_rad_s_Roll,0.000169678,0.00124533,0.0161708,67.0025,2539.77
bodyAngularRateWrtEi_rad_s_Pitch,4.21145e-05,0.000436723,0.00551716,-1.04561,972.657
bodyAngularRateWrtEi_rad_s_Yaw,-1.22601e-05,3.33519e-05,0.000230359,-51.5072,1465.02
altitudeRateWrtMsl_m_s,0.000775641,0.0116387,0.0269141,52.8408,247.138
speedOfSound_m_s,0.000168771,9.31565e-05,0.000308291,5.13948e-05,9.38833e-05
airDensity_kg_m3,-5.94056e-06,2.18359e-06,9.46573e-06,-0.0006568,0.00104653
ambientPressure_Pa,-0.385888,0.207695,0.707437,-0.000553921,0.00101547
ambientTemperature_K,-0.000191188,0.000152217,0.000426813,-7.12527e-05,0.000159065
aero_bodyForce_N_X,-3.57676,52.8372,735.331,-0.0867771,17.5158
aero_bodyForce_N_Y,-14.6096,21.4412,308.329,-38.5402,10618.9
aero_bodyForce_N_Z,-37.6931,226.033,2975.58,-0.0391111,2.78643
aero_bodyMoment_Nm_L,74.2242,1255.09,17625,1725.15,354518
aero_bodyMoment_Nm_M,-96.6284,1116.44,15590.5,-0.868338,162.671
aero_bodyMoment_Nm_N,-4.35788,6.49581,64.4326,-108.819,1309.78
mach,5.10276e-05,0.00011221,0.00037948,0.00994156,0.0750833
trueAirspeed_m_s,0.0168429,0.0368247,0.12463,0.00999318,0.0750936
