column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,0.552399,0.394771,1.26238,8.65675e-06,6.18619e-06,1.97828e-05
gePosition_m_Y,-0.00073855,0.000776229,0.00257268,-0.0124845,0.0106494,0.029444
gePosition_m_Z,0.573291,0.425289,1.3752,0.0125772,0.00556867,0.02001
feVelocity_m_s_X,0.045712,0.0151074,0.0597415,0.0211347,0.00852407,0.0320266
feVelocity_m_s_Y,-8.50775e-05,6.4382e-05,0.000196422,-0.0232727,0.0203137,0.0830911
feVelocity_m_s_Z,-0.0421514,0.0120867,0.0503582,-0.221298,0.887132,10.2307
altitudeMsl_m,0.552819,0.39521,1.26383,0.0191489,0.0110447,0.0410104
longitude_rad,-1.15661e-10,1.21559e-10,4.02893e-10,-0.0124758,0.0106433,0.0294242
latitude_rad,9.03765e-08,6.70281e-08,2.16743e-07,0.0125684,0.00556271,0.0199901
localGravity_m_s2,-2.93308e-06,3.06439e-07,3.49878e-06,-2.9909e-05,3.12751e-06,3.56847e-05
eulerAngle_rad_Yaw,3.12407e-11,2.29914e-11,7.39258e-11,,,
eulerAngle_rad_Pitch,4.00047e-06,2.14328e-06,7.47166e-06,0.686347,0.00550375,0.693748
eulerAngle_rad_Roll,-0.00109382,0.000633616,0.00218763,-542902,1.792e+06,2.66345e+07
bodyAngularRateWrtEi_rad_s_Roll,-7.29211e-05,8.28313e-13,7.29211e-05,-100,1.1359e-06,100
bodyAngularRateWrtEi_rad_s_Pitch,6.81289e-13,4.34248e-13,1.87503e-12,,,
bodyAngularRateWrtEi_rad_s_Yaw,2.4653e-12,1.09652e-12,4.56291e-12,,,
altitudeRateWrtMsl_m_s,0.0420674,0.0121071,0.0502822,0.221002,0.886012,10.2165
speedOfSound_m_s,0.000453158,0.00240077,0.00560986,0.000130898,0.000720452,0.00165827
airDensity_kg_m3,-0.000646272,0.00025463,0.00106294,-0.0669045,0.0254983,0.103687
ambientPressure_Pa,-78.9562,32.8317,138.968,-0.104202,0.0409388,0.164026
ambientTemperature_K,-0.00354102,0.00245481,0.00797975,-0.00131731,0.000922904,0.00297609
aero_bodyForce_N_X,0.0176095,0.0264838,0.101191,0.0233835,0.0289046,0.0813674
aero_bodyForce_N_Y,-0.0132292,0.0140604,0.0294419,-22.0083,23.768,49.9663
aero_bodyForce_N_Z,-0.00761969,0.0261932,0.0956173,0.209676,1.09419,16.3813
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,0.000159703,5.14334e-05,0.000212258,0.0221556,0.00882005,0.0303764
dynamicPressure_Pa,-11.801,19.4519,76.2905,-0.0223561,0.0292093,0.0810812
trueAirspeed_m_s,0.0536468,0.015428,0.0699688,0.0223731,0.00832487,0.0296947
