time,eiPosition_m_X,eiPosition_m_Y,eiPosition_m_Z,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,eiVelocity_m_s_X,eiVelocity_m_s_Y,eiVelocity_m_s_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.0,6387281.000000211,0.0,0.0,6387281.000000211,0.0,0.0,0.0,465.7678758931653,0.0,0.0,0.0,0.0,9144.000000001135,0.0,0.0,9.786072158121431,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.6191747942405682e-20,-0.0,303.22998396963123,0.459050104915564,30149.23809906436,228.79937386033285,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.951070665,46.57678747038719,0.0,6387280.951240487,2.3704505231376683e-07,0.0,-0.9786072207917328,465.76787232516654,0.0,0.0,7.111349112027982e-06,0.975210787860158,9143.951240278655,3.7112044095653856e-14,0.0,9.786072307774342,0.0,2.2204460493093495e-16,-7.292115037112027e-06,0.0,0.0,1.6191747942405682e-20,-0.9752107878601584,303.2301933872477,0.4590528033607389,30149.45696982614,228.79968988868498,0.0,0.0,0.0,0.0,0.0,0.0,0.0032160741547286,0.21828788966138662,0.9751981381001869
0.2000000000000001,6387280.804279581,93.15357422716276,0.0,6387280.804958866,1.8963596145997298e-06,0.0,-1.957214471462513,465.7678616209914,0.0,0.0,2.844539738748564e-05,1.9504216054958308,9143.804958657467,2.9689623370362255e-13,0.0,9.78607275674062,0.0,2.220446049486457e-16,-1.4584230296896261e-05,0.0,0.0,1.6191747942405682e-20,-1.950421605495831,303.23082164978723,0.45906089890512036,30150.11360086577,228.80063798967396,0.0,0.0,0.0,0.0,0.0,0.0,0.0064321350814261,0.873166983754333,1.9503963061310707
0.3000000000000002,6387280.55962777,139.73035955671483,0.0,6387280.561156164,6.400214735745014e-06,0.0,-2.935821781891391,465.7678437806981,0.0,0.0,6.400214605051383e-05,2.9256324826825355,9143.56115595511,1.0020249892681259e-12,0.0,9.786073505017823,0.0,2.2204460497816365e-16,-2.1876346002024573e-05,0.0,0.0,1.6191747942405682e-20,-2.925632482682535,303.2318687511929,0.45907439172264936,30151.20801173367,228.80221815808824,0.0,0.0,0.0,0.0,0.0,0.0,0.009648169552334,1.964683558652253,2.9255945340233502
0.4000000000000003,6387280.2171152225,186.30714274543158,0.0,6387280.219832369,1.5170879559501225e-05,0.0,-3.914429181957431,465.7678188042844,0.0,0.0,0.00011378159806539514,3.9008434491958033,9143.219832160226,2.375170500958447e-12,0.0,9.78607455260609,0.0,2.2204460501948897e-16,-2.916846237516864e-05,0.0,0.0,1.6191747942405682e-20,-3.9008434491958033,303.2333346872708,0.4590932821792727,30152.740241182415,228.80443039414664,0.0,0.0,0.0,0.0,0.0,0.0,0.0128641643402372,3.4929147451390996,3.90079285170774
0.5000000000000003,6387279.776741928,232.88392307970096,0.0,6387279.78098747,2.9630622416632102e-05,0.0,-4.893036701539708,465.76778669174735,0.0,0.0,0.00017778375737421653,4.876054534811174,9142.780987261463,4.6390049336544365e-12,0.0,9.786075899505596,0.0,2.2204460507262146e-16,-3.646057963900484e-05,0.0,0.0,1.6191747942405682e-20,-4.876054534811175,303.23521945213014,0.4591175707870783,30154.710343447503,228.80727469812607,0.0,0.0,0.0,0.0,0.0,0.0,0.0160801062187368,5.457968533650629,4.875991289114961
0.6000000000000004,6387279.238507876,279.46069984591026,0.0,6387279.244621457,5.120171440092145e-05,0.0,-5.871644370517319,465.767747443083,0.0,0.0,0.0002560086288275678,5.8512657693042165,9142.244621247464,8.016201020808183e-12,0.0,9.786077545716564,0.0,2.220446051375611e-16,-4.3752698016200535e-05,0.0,0.0,1.6191747942405682e-20,-5.8512657693042165,303.2375230381832,0.4591472582043153,30157.11838825009,228.81075107036156,0.0,0.0,0.0,0.0,0.0,0.0,0.0192959819625223,7.85998378161029,5.851189876175763
0.7000000000000005,6387278.602413047,326.03747233044635,0.0,6387278.61073431,8.13064259325759e-05,0.0,-6.850252218769384,465.76770105828655,0.0,0.0,0.0003484562181152175,6.826477182450513,9141.610734100064,1.272943156040418e-11,0.0,9.78607949123927,0.0,2.2204460521430793e-16,-5.1044817729431804e-05,0.0,0.0,1.6191747942405682e-20,-6.826477182450513,303.240245436175,0.45918234523578966,30159.96446083061,228.8148595112904,0.0,0.0,0.0,0.0,0.0,0.0,0.0225117783476427,10.699130222868865,6.826388642820916
0.8000000000000006,6387277.868457424,372.61423981969625,0.0,6387277.879326012,0.00012136702798805737,0.0,-7.8288602761750585,465.76764753735233,0.0,0.0,0.0004551265325285638,7.801688804025689,9140.879325803366,1.9001369641501184e-11,0.0,9.786081736074044,0.0,2.2204460530286196e-16,-5.833693900136951e-05,0.0,0.0,1.6191747942405682e-20,-7.801688804025689,303.2433866351443,0.4592228328323858,30163.248661911784,228.8196000213933,0.0,0.0,0.0,0.0,0.0,0.0,0.0257274821517801,13.97560847922902,7.8015876189812206
0.9000000000000007,6387277.036640984,419.1910016000457,0.0,6387277.050396541,0.00017280579341141824,0.0,-8.807468572613534,465.7675868802738,0.0,0.0,0.0005760195802674,8.776900663805401,9140.050396332388,2.705468888353448e-11,0.0,9.786084280221264,0.0,2.2204460540322326e-16,-6.562906205468797e-05,0.0,0.0,1.6191747942405682e-20,-8.7769006638054,303.2469466224725,0.45926872209172864,30166.971107754372,228.82497260126786,0.0,0.0,0.0,0.0,0.0,0.0,0.0289430801545184,17.689650074090718,8.776786834587519
