time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N
0.0,6387281.000000209,0.0,0.0,0.0,0.0,-0.0,9144.000000208911,0.0,0.0,9.78607215812132,0.0,303.2300147814493,0.4590407321854438,30148.69453988064,228.79900920821055,0.0,0.0,0.0,0.0,0.0,0.0
0.1,6387280.9512396455,-3.42682873013376e-06,1.2192e-16,-1.2192e-16,7.1113493657412e-06,0.9752107876659946,9143.951239671176,-5.36508976075301e-13,0.0,9.786072307776717,-0.9752107876659946,303.23022420420904,0.4590434306686322,30148.913413830775,228.79932524378833,0.0,0.0,0.0,0.0,0.0,0.0
0.2,6387280.804958049,-5.431387425240001e-06,6.096e-17,-2.7432000000000004e-16,2.8445398160682484e-05,1.9504216051075098,9143.804958052244,-8.503436101934093e-13,0.0,9.786072756743003,-1.9504216051075098,303.23085247166404,0.4590515261915874,30149.570043446794,228.8002733505878,0.0,0.0,0.0,0.0,0.0,0.0
0.3,6387280.561155325,-4.59140602429176e-06,1.2192e-16,-5.486400000000001e-16,6.400214795570208e-05,2.9256324821000517,9143.561155347632,-7.188365417141405e-13,0.0,9.786073505020205,-2.9256324821000517,303.2318995812929,0.45906501897386076,30150.6644519748,228.8018535287328,0.0,0.0,0.0,0.0,0.0,0.0
0.4,6387280.219831538,5.2105868326536e-07,6.096e-17,-1.0972800000000002e-15,0.00011378160164591232,3.9008434484191556,9143.21983155274,8.157668923821495e-14,0.0,9.78607455260848,-3.900843448419156,303.23336552885786,0.4590839093807529,30152.19667812196,228.80406577837556,0.0,0.0,0.0,0.0,0.0,0.0
0.5,6387279.780986625,1.131693077987016e-05,0.0,-1.0972800000000002e-15,0.00017778376275778823,4.876054533840369,9142.780986651716,1.7717919341130678e-12,0.0,9.786075899507976,-4.876054533840369,303.2352503085023,0.4591081979248594,30154.166776160397,228.80691009984557,0.0,0.0,0.0,0.0,0.0,0.0
0.6,6387279.244620615,2.9224153484763842e-05,6.096e-17,-1.0972800000000002e-15,0.0002560086362114114,5.851265768139242,9142.244620639962,4.575368416798371e-12,0.0,9.786077545718937,-5.851265768139243,303.2375539126089,0.4591378852641129,30156.574815781707,228.81038649343222,0.0,0.0,0.0,0.0,0.0,0.0
0.7,6387278.610733481,5.567067031171584e-05,0.0,-1.0972800000000002e-15,0.00034845622818181657,6.8264771810913825,9141.61073349257,8.715867106511332e-12,0.0,9.78607949124167,-6.8264771810913825,303.24027633194197,0.4591729722034322,30159.420882248032,228.81449495960334,0.0,0.0,0.0,0.0,0.0,0.0
0.8,6387277.879325191,9.206740570697425e-05,0.0,-1.0972800000000002e-15,0.0004551265456140545,7.801688802472369,9140.879325197015,1.4414185600030608e-11,0.0,9.786081736076419,-7.801688802472368,303.24341755553525,0.45921345969379407,30162.705076278653,228.81923549883223,0.0,0.0,0.0,0.0,0.0,0.0
0.9,6387277.050395712,0.00013983663027737137,6.096e-17,-1.0972800000000002e-15,0.0005760195966387872,8.776900662057956,9140.05039572489,2.1892996493984147e-11,0.0,9.786084280223639,-8.776900662057955,303.24697757077,0.45925934883280095,30166.42751413604,228.82460811171558,0.0,0.0,0.0,0.0,0.0,0.0
