column,abs_mean,abs_std,abs_max,rel_mean_%,rel_std_%,rel_max_%
gePosition_m_X,0.553224,0.39562,1.26535,8.66967e-06,6.19949e-06,1.98292e-05
gePosition_m_Y,0.572941,0.425082,1.37559,0.0125813,0.00557165,0.020039
gePosition_m_Z,-1.2999e-13,6.83344e-14,2.37015e-13,,,
feVelocity_m_s_X,-7.90075e-15,1.34568e-15,1.08358e-14,,,
feVelocity_m_s_Y,0.0457676,0.015093,0.0600688,0.0211899,0.00854736,0.032265
feVelocity_m_s_Z,-0.0421659,0.0121597,0.0503662,-0.252854,1.39692,22.6525
altitudeMsl_m,0.553639,0.396055,1.26679,0.0191293,0.0110246,0.0409194
longitude_rad,8.97172e-08,6.65474e-08,2.15355e-07,0.0125726,0.00556572,0.0200192
latitude_rad,-2.05086e-20,1.07799e-20,3.73927e-20,,,
localGravity_m_s2,-2.94042e-06,3.09931e-07,3.51631e-06,-2.99839e-05,3.16326e-06,3.58636e-05
eulerAngle_rad_Yaw,-1.5708,2.22045e-16,1.5708,-100,0,100
eulerAngle_rad_Pitch,-0.000579894,0.000307989,0.00107574,-100,3.29854e-10,100
eulerAngle_rad_Roll,-0.0016738,0.000941302,0.00326359,,,
bodyAngularRateWrtEi_rad_s_Roll,1.46703e-11,1.37696e-12,1.97613e-11,,,
bodyAngularRateWrtEi_rad_s_Pitch,7.29211e-05,1.9805e-19,7.29211e-05,100,2.6955e-13,100
bodyAngularRateWrtEi_rad_s_Yaw,2.86179e-19,1.94182e-19,5.47199e-19,,,
altitudeRateWrtMsl_m_s,0.0421659,0.0121597,0.0503662,0.252854,1.39692,22.6525
speedOfSound_m_s,0.000483604,0.00236943,0.00560986,0.000140169,0.000710867,0.00165828
airDensity_kg_m3,-0.000654065,0.000254219,0.00106294,-0.0678159,0.0256599,0.103672
ambientPressure_Pa,-79.9131,32.7015,138.968,-0.105671,0.0411391,0.16401
ambientTemperature_K,-0.00354872,0.0024636,0.00801171,-0.00132045,0.000926476,0.00298903
aero_bodyForce_N_X,57.5637,30.7439,146.795,100,1.69259e-14,100
aero_bodyForce_N_Y,-57.5591,30.731,146.795,,,
aero_bodyForce_N_Z,-0.0529527,0.0166785,0.109256,-3.50723,42.7738,742.511
aero_bodyMoment_Nm_L,0,0,0,,,
aero_bodyMoment_Nm_M,0,0,0,,,
aero_bodyMoment_Nm_N,0,0,0,,,
mach,0.00015999,5.1465e-05,0.000212351,0.022222,0.0088575,0.0303816
dynamicPressure_Pa,-11.9244,19.39,76.2914,-0.0231168,0.0290711,0.0810823
trueAirspeed_m_s,0.053756,0.0154255,0.0699772,0.0224488,0.0083649,0.0296903
