time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.00000000000000000e+00,1.27853100286666933e+06,-5.00654441540904157e+06,3.73170704103245260e+06,1.21920000000000002e+02,1.21920000000000059e+02,-1.42108547152020037e-14,3.05196240000054240e+03,-1.32076813760289768e+00,6.28653110335566034e-01,9.81107779915437028e+00,7.85398163397448279e-01,4.63251566199827103e-02,-3.00196631343014773e-03,4.36462820714007710e-05,-4.15822512331435242e-05,-4.10294109274062549e-05,1.42108547152020037e-14,3.28377139108216170e+02,9.04403983298683545e-01,6.96594851895795873e+04,2.68321764182567222e+02,-6.31835137764229876e+03,5.94480799489457112e+01,-9.13138176074518269e+04,5.33428095639911461e+01,4.54549551686068298e+00,-9.98910861473463001e+01,5.25069796249448273e-01,1.34435007098491169e+04,1.72420917524527795e+02
2.00000000000000004e-02,1.27853300927446689e+06,-5.00654241723255161e+06,3.73170901029125508e+06,1.21884390757293744e+02,1.21955630960438256e+02,-1.42958935752091065e-03,3.05195606069639325e+03,-1.32076766569865756e+00,6.28653493845994560e-01,9.81107782524023797e+00,7.85177963691298997e-01,4.63242647732490936e-02,6.14068562312739832e-04,3.59027077795333660e-01,-1.90779683104580711e-04,-2.20817315441166513e-02,1.42958935752091065e-03,3.28377164298034074e+02,9.04404573817927160e-01,6.96595413600360189e+04,2.68321805348506189e+02,-6.30595216064734268e+03,2.30968203063269066e+04,-9.13533542067384114e+04,2.25146279988035938e+05,-3.01190044794220739e+02,-1.16876304426301402e+05,5.25069825164236392e-01,1.34435130307454583e+04,1.72420940245896475e+02
4.00000000000000008e-02,1.27853501650517271e+06,-5.00654041962576192e+06,3.73171097924508760e+06,1.21848935127059775e+02,1.21991071034823563e+02,-1.66421943536931849e-03,3.05195015506446362e+03,-1.32076719366713080e+00,6.28653877247677739e-01,9.81107784998922661e+00,7.84518316113282599e-01,4.63258091216027026e-02,1.11644751204854602e-02,6.95514503266008610e-01,-2.72003155275329261e-04,-4.38768435128737422e-02,1.66421943536931849e-03,3.28377187764613154e+02,9.04405123939976519e-01,6.96595936879008950e+04,2.68321843698280588e+02,-6.37809443572531472e+03,2.21774924780377987e+04,-9.09601678111861838e+04,2.11060528876574739e+05,1.40397305829674224e+03,-1.14295798517443240e+05,5.25069820945793908e-01,1.34435229134264719e+04,1.72420951182248785e+02
5.99999999999999978e-02,1.27853702449368499e+06,-5.00653842254102230e+06,3.73171294790734909e+06,1.21813218850116726e+02,1.22026788763662353e+02,-4.76343867298112400e-04,3.05194464061129838e+03,-1.32076672151824326e+00,6.28654260548076826e-01,9.81107787353227323e+00,7.83425551098733908e-01,4.63400640339086262e-02,2.82086035467321930e-02,1.01053349230475420e+00,-7.29329993372493986e-04,-6.53275211488375113e-02,4.76343867298112400e-04,3.28377209676805421e+02,9.04405637623131642e-01,6.96596425496879820e+04,2.68321879507832818e+02,-6.43629575338022823e+03,2.09494018546432271e+04,-9.05616789230719296e+04,1.97458278894380899e+05,2.73125932677888341e+03,-1.11109553943385181e+05,5.25069901207362411e-01,1.34435364531312644e+04,1.72420989043749557e+02
8.00000000000000017e-02,1.27853903319655871e+06,-5.00653642593807541e+06,3.73171491627638601e+06,1.21776901340213371e+02,1.22063167962359429e+02,2.93658337648849965e-03,3.05193947612121701e+03,-1.32076624925821373e+00,6.28654643751581310e-01,9.81107789599632163e+00,7.81908399741533811e-01,4.63793043677003525e-02,5.13250270814560247e-02,1.30483681304441124e+00,-1.69171828236744262e-03,-8.62730525535317788e-02,-2.93658337648849965e-03,3.28377230198385575e+02,9.04406118706677753e-01,6.96596883105905872e+04,2.68321913044807786e+02,-6.52443056663863990e+03,1.94221539184834874e+04,-8.98781946913691500e+04,1.84323471288314584e+05,4.67402062366558675e+03,-1.07337519164481666e+05,5.25070161747033026e-01,1.34435586258535550e+04,1.72421085374309001e+02
1.00000000000000006e-01,1.27854104258404416e+06,-5.00653442976712715e+06,3.73171688432816137e+06,1.21739727199654951e+02,1.22100491449224961e+02,9.41622268690878172e-03,3.05193460248410702e+03,-1.32076577689023589e+00,6.28655026860275745e-01,9.81107791756337377e+00,7.79979087726914933e-01,4.64597533968244200e-02,8.01072405225414091e-02,1.57915359115405218e+00,-3.28332776327048019e-03,-1.06549763277241541e-01,-9.41622268690878172e-03,3.28377249564233352e+02,9.04406572696813904e-01,6.96597314943600213e+04,2.68321944693052558e+02,-6.63869811357741673e+03,1.76056087475451313e+04,-8.88613153535853926e+04,1.71643743919694476e+05,7.06665208977116345e+03,-1.03000048910553232e+05,5.25070665916146595e-01,1.34435927767208268e+04,1.72421261100404649e+02
1.20000000000000009e-01,1.27854305263609788e+06,-5.00653243396638613e+06,3.73171885201765085e+06,1.21701537561037100e+02,1.22138933922491262e+02,1.97703808731617414e-02,3.05192994078714401e+03,-1.32076530441510953e+00,6.28655409874428250e-01,9.81107793847637843e+00,7.77653435860972464e-01,4.65997348012670703e-02,1.14163225445819944e-01,1.83419569185572007e+00,-5.68211903117746796e-03,-1.25989300477660188e-01,-1.97703808731617414e-02,3.28377268087916320e+02,9.04407006944417446e-01,6.96597728002146032e+04,2.68321974965008224e+02,-6.76669526643976224e+03,1.55103577951131665e+04,-8.74910083727310994e+04,1.59411593793188513e+05,9.52541132145817392e+03,-9.81190730118223873e+04,5.25071453473437311e-01,1.34436410766529989e+04,1.72421529442558807e+02
1.40000000000000013e-01,1.27854506333871605e+06,-5.00653043846146390e+06,3.73172081928180903e+06,1.21662284768489883e+02,1.22178548042096537e+02,3.48364315981157802e-02,3.05192539285775274e+03,-1.32076483183189830e+00,6.28655792793005763e-01,9.81107795903751523e+00,7.74950761879384720e-01,4.68173912599996814e-02,1.53115154455480684e-01,2.07066589162152415e+00,-9.09671985587647003e-03,-1.44416606853751989e-01,-3.48364315981157802e-02,3.28377286159532332e+02,9.04407430594469264e-01,6.96598130980291462e+04,2.68322004498184299e+02,-6.90002681044799738e+03,1.31484199484450364e+04,-8.57155424852296273e+04,1.47625616862329887e+05,1.17540170277913494e+04,-9.27197265656797390e+04,5.25072541995258768e-01,1.34437045936487248e+04,1.72421896377290153e+02
1.60000000000000003e-01,1.27854707467977493e+06,-5.00652844316404033e+06,3.73172278604212543e+06,1.21622053490363413e+02,1.22219239434545230e+02,5.55503260540177735e-02,3.05192084088828415e+03,-1.32076435913864643e+00,6.28656175614213719e-01,9.81107797960942918e+00,7.71893561770044423e-01,4.71289606918306458e-02,1.96599276870404127e-01,2.28926794094601505e+00,-1.37299048159280328e-02,-1.61648883602233395e-01,-5.55503260540177735e-02,3.28377304247201039e+02,9.04407854621015916e-01,6.96598534316605073e+04,2.68322034057595715e+02,-7.03622885719716305e+03,1.05340988942396980e+04,-8.34476802638384834e+04,1.36291623655840085e+05,1.35942285921692819e+04,-8.68322942562498938e+04,5.25073918230744674e-01,1.34437828507442737e+04,1.72422357799127212e+02
1.79999999999999993e-01,1.27854908664412051e+06,-5.00652644796943851e+06,3.73172475220668688e+06,1.21581087258763006e+02,1.22260733524183877e+02,8.29800489192820123e-02,3.05191614576149732e+03,-1.32076388633318298e+00,6.28656558336087690e-01,9.81107800062033242e+00,7.68507015840826702e-01,4.75477061049202135e-02,2.44266026791756907e-01,2.49071825237709721e+00,-1.97502731218499525e-02,-1.77496358778477664e-01,-8.29800489192820123e-02,3.28377322903717470e+02,9.04408291983160861e-01,6.96598950337857241e+04,2.68322064546636909e+02,-7.17729472430774240e+03,7.68491141467178750e+03,-8.05778412748259725e+04,1.25423408588068196e+05,1.49961782813837490e+04,-8.04942481485558237e+04,5.25075523498117813e-01,1.34438730810385860e+04,1.72422894728579934e+02
