time,gePosition_m_X,gePosition_m_Y,gePosition_m_Z,feVelocity_m_s_X,feVelocity_m_s_Y,feVelocity_m_s_Z,altitudeMsl_m,longitude_rad,latitude_rad,localGravity_m_s2,eulerAngle_rad_Yaw,eulerAngle_rad_Pitch,eulerAngle_rad_Roll,bodyAngularRateWrtEi_rad_s_Roll,bodyAngularRateWrtEi_rad_s_Pitch,bodyAngularRateWrtEi_rad_s_Yaw,altitudeRateWrtMsl_m_s,speedOfSound_m_s,airDensity_kg_m3,ambientPressure_Pa,ambientTemperature_K,aero_bodyForce_N_X,aero_bodyForce_N_Y,aero_bodyForce_N_Z,aero_bodyMoment_Nm_L,aero_bodyMoment_Nm_M,aero_bodyMoment_Nm_N,mach,dynamicPressure_Pa,trueAirspeed_m_s
0.00000000000000000e+00,1.27853100286666933e+06,-5.00654441540904157e+06,3.73170704103245260e+06,1.21920000000000002e+02,1.21920000000000059e+02,-1.42108547152020037e-14,3.05196240000054240e+03,-1.32076813760289768e+00,6.28653110335566034e-01,9.81107779915437028e+00,7.85398163397448279e-01,4.63251566199827103e-02,-3.00196631343014773e-03,4.36462820714007710e-05,-4.15822512331435242e-05,-4.10294109274062549e-05,1.42108547152020037e-14,3.28377139108216170e+02,9.04403983298683545e-01,6.96594851895795873e+04,2.68321764182567222e+02,-6.31835137764229876e+03,5.94480799489457112e+01,-9.13138176074518269e+04,5.33428095639911461e+01,4.54549551686068298e+00,-9.98910861473463001e+01,5.25069796249448273e-01,1.34435007098491169e+04,1.72420917524527795e+02
2.00000000000000004e-02,1.27853300970091927e+06,-5.00654241934389062e+06,3.73170901101581426e+06,1.21921410346243960e+02,1.21918612218062535e+02,-1.34109591499509406e-03,3.05195822671707720e+03,-1.32076766571979465e+00,6.28653493739244174e-01,9.81107781857049055e+00,7.85435546399920748e-01,4.63249226694507077e-02,-6.19265220905664449e-04,2.35746591282442935e-01,-1.25901543003342851e-04,3.64026081992001359e-03,1.34109591499509406e-03,3.28377155691148573e+02,9.04404372048603911e-01,6.96595221676461515e+04,2.68321791282881122e+02,-6.30563178894617795e+03,-9.14713182401525614e+02,-9.13627048147197929e+04,1.46908259631717723e+05,-3.08758468881394947e+02,2.16463900677364251e+02,5.25069818372622454e-01,1.34435089790535221e+04,1.72420933496469758e+02
4.00000000000000008e-02,1.27853501859725965e+06,-5.00654043080649152e+06,3.73171098600881640e+06,1.21919449466363204e+02,1.21920533147579434e+02,-2.19902222963952454e-03,3.05196331320423633e+03,-1.32076719381023278e+00,6.28653877058350741e-01,9.81107780947969665e+00,7.85465028957904599e-01,4.63256916046636893e-02,1.22564844163799980e-03,-4.84301571891978810e-02,6.58125678693535364e-05,-7.70280322146213708e-04,2.19902222963952454e-03,3.28377135479515744e+02,9.04403898231902037e-01,6.96594770979897294e+04,2.68321758252438826e+02,-6.34899807109411813e+03,1.05826971028806088e+03,-9.11567413922168780e+04,-1.77151099018293084e+05,7.19050369950309687e+02,-8.92751474036136869e+01,5.25069764661522997e-01,1.34434975307551176e+04,1.72420905246454396e+02
5.99999999999999978e-02,1.27853702649897477e+06,-5.00653843852532748e+06,3.73171295848260773e+06,1.21918900066713647e+02,1.21921113684373353e+02,-3.76087669187086249e-03,3.05196378719061613e+03,-1.32076672190764155e+00,6.28654260415116739e-01,9.81107781458876715e+00,7.85446458225036559e-01,4.63261474505081150e-02,1.59125780028617285e-05,-7.21255820697856709e-02,-1.57764825316825043e-04,-1.19235898987184478e-03,3.76087669187086249e-03,3.28377133596086423e+02,9.04403854079109282e-01,6.96594728981566295e+04,2.68321755174483599e+02,-6.28451469129614725e+03,1.60613953446559378e+02,-9.14544170179915818e+04,-1.47602373937802822e+04,-8.31549746514156141e+02,-2.52627268615733158e+02,5.25069834820529158e-01,1.34435003128329772e+04,1.72420927296135943e+02
8.00000000000000017e-02,1.27853903390048677e+06,-5.00653644440564886e+06,3.73171492973148450e+06,1.21919245049383477e+02,1.21920792684859208e+02,-4.95746939655106189e-03,3.05196200183033943e+03,-1.32076625001054393e+00,6.28654643792147416e-01,9.81107782665340622e+00,7.85439885527100423e-01,4.63239458144278429e-02,-3.63016380418034444e-04,3.32843429574269933e-02,-1.99439782902604711e-04,4.13878258382775364e-04,4.95746939655106189e-03,3.28377140690382760e+02,9.04404020389049879e-01,6.96594887176316843e+04,2.68321766768190173e+02,-6.31329699876900577e+03,-3.54230806166122591e+02,-9.12951410802809696e+04,6.57099819811983762e+04,-1.53401066708549479e+02,-8.91753142746776888e+01,5.25069875201754965e-01,1.34435054335977075e+04,1.72420944281408396e+02
1.00000000000000006e-01,1.27854104177612066e+06,-5.00653445202411152e+06,3.73171690213938244e+06,1.21918901519630751e+02,1.21921119757340279e+02,-5.86081440839336665e-03,3.05196235692128539e+03,-1.32076577810751283e+00,6.28655027149906731e-01,9.81107783212851281e+00,7.85447012011092127e-01,4.63225235397613094e-02,1.63633937151999229e-04,1.95730991493032296e-02,-8.07817191901060534e-05,1.90556488794300645e-04,5.86081440839336665e-03,3.28377139279395635e+02,9.04403987311603985e-01,6.96594855712903518e+04,2.68321764462313695e+02,-6.33877332639720680e+03,6.46806078143743548e+01,-9.11706593134352879e+04,-8.54997228998984065e+03,4.44271281392633682e+02,-4.32584984589243575e+01,5.25069842117294794e-01,1.34435031322483210e+04,1.72420932676361190e+02
1.20000000000000009e-01,1.27854304974483699e+06,-5.00653245995489135e+06,3.73171887474816339e+06,1.21918388419859454e+02,1.21921617238210374e+02,-6.92936539832800236e-03,3.05196309538837522e+03,-1.32076530620172150e+00,6.28655410502996337e-01,9.81107783642334397e+00,7.85446365289306780e-01,4.63224926521313279e-02,2.07170799738691432e-04,-1.47804468685102212e-02,-5.98069821298259283e-05,-3.60537687056361423e-04,6.92936539832800236e-03,3.28377136345027509e+02,9.04403918521891725e-01,6.96594790279824956e+04,2.68321759666883395e+02,-6.32394070024377288e+03,1.52125980590656468e+02,-9.12420007568332076e+04,-2.14139113820352686e+04,7.95449677982214780e+01,-8.76790303805941420e+01,5.25069813321536238e-01,1.34435003949321635e+04,1.72420921679744254e+02
1.40000000000000013e-01,1.27854505754162138e+06,-5.00653046723265015e+06,3.73172084691630770e+06,1.21918159427002820e+02,1.21921840235907808e+02,-8.06354437576572991e-03,3.05196303044166416e+03,-1.32076483429663716e+00,6.28655793862376133e-01,9.81107784319152643e+00,7.85441955696509320e-01,4.63223986357452350e-02,3.23102411589911944e-05,-2.71885659299909467e-03,-8.69308525801111207e-05,-1.90871036857590259e-04,8.06354437576572991e-03,3.28377136603099302e+02,9.04403924571809958e-01,6.96594796034533938e+04,2.68321760088631947e+02,-6.31680812482154579e+03,-2.11653660410795474e+01,-9.12690988516978396e+04,7.51983001215313834e+03,-9.98615733851329423e+01,-7.04556420875392746e+01,5.25069800163239786e-01,1.34434998322009669e+04,1.72420917494366250e+02
1.60000000000000003e-01,1.27854706535639754e+06,-5.00652847456339281e+06,3.73172281911689742e+06,1.21917938248234378e+02,1.21922052175626661e+02,-9.11923889974275426e-03,3.05196303156204522e+03,-1.32076436239045436e+00,6.28656177220616175e-01,9.81107784975631425e+00,7.85440642554625534e-01,4.63221001672237329e-02,7.42490226565579992e-05,6.90914656455069061e-03,-8.03635342113928847e-05,-5.07811073854134282e-05,9.11923889974275426e-03,3.28377136598647382e+02,9.04403924467443776e-01,6.96594795935260481e+04,2.68321760081356445e+02,-6.32243545904781968e+03,-2.28742710708846886e+01,-9.12348518402678455e+04,6.00103213772697654e+03,2.58397797421639552e+01,-3.40716060660765407e+01,5.25069780450665213e-01,1.34434988208726827e+04,1.72420911018869873e+02
1.79999999999999993e-01,1.27854907324271044e+06,-5.00652648214003816e+06,3.73172479147754656e+06,1.21917623436340349e+02,1.21922355735396593e+02,-1.01540402004758334e-02,3.05196333569474518e+03,-1.32076389048237108e+00,6.28656560575437617e-01,9.81107785538823762e+00,7.85439685728519743e-01,4.63219625315438102e-02,1.48304393337964611e-04,6.51998048145471971e-04,-7.08592955633784123e-05,-1.53410841347501525e-04,1.01540402004758334e-02,3.28377135390147600e+02,9.04403896136865448e-01,6.96594768987089337e+04,2.68321758106390803e+02,-6.32325958740826900e+03,3.15017911075707495e+01,-9.12255784962309845e+04,-3.90130608574272355e+03,3.67555072887589631e+01,-2.35177036217605178e+01,5.25069758353695071e-01,1.34434971692942490e+04,1.72420903128183426e+02
